method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
CPG,1,2,1.349171070581486054e-01,7.982893224656394116e-02,-8.699329796837877993e-01,-1.097839679604390772e+00,5.508817481158466423e-02,4.083112661750294969e-01,2.279066999206029731e-01
CPG,2,3,7.982893224656394116e-02,7.982893224656394116e-02,-1.097839679604390772e+00,-1.097839679604390772e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,3,4,7.982893224656394116e-02,7.982893224656394116e-02,-1.097839679604390772e+00,-1.097839679604390772e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,4,5,7.982893224656394116e-02,7.982893224656394116e-02,-1.097839679604390772e+00,-1.097839679604390772e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,5,6,7.982893224656394116e-02,7.982893224656394116e-02,-1.097839679604390772e+00,-1.097839679604390772e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,6,7,7.982893224656394116e-02,7.981396050132009978e-02,-1.097839679604390772e+00,-1.097921138243118877e+00,1.497174524384137229e-05,1.875478579319942850e-04,8.145863872810465978e-05
CPG,7,8,7.981396050132009978e-02,7.981396050132009978e-02,-1.097921138243118877e+00,-1.097921138243118877e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,8,9,7.981396050132009978e-02,7.981396050132009978e-02,-1.097921138243118877e+00,-1.097921138243118877e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,9,10,7.981396050132009978e-02,7.101093372299395468e-02,-1.097921138243118877e+00,-1.148674776774183171e+00,8.803026778326145108e-03,1.102943234871867489e-01,5.075363853106429346e-02
CPG,10,11,7.101093372299395468e-02,7.101093372299395468e-02,-1.148674776774183171e+00,-1.148674776774183171e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,11,12,7.101093372299395468e-02,7.101093372299395468e-02,-1.148674776774183171e+00,-1.148674776774183171e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,12,13,7.101093372299395468e-02,7.101093372299395468e-02,-1.148674776774183171e+00,-1.148674776774183171e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,13,14,7.101093372299395468e-02,7.101093372299395468e-02,-1.148674776774183171e+00,-1.148674776774183171e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,14,15,7.101093372299395468e-02,6.745815247752071087e-02,-1.148674776774183171e+00,-1.170965557303433879e+00,3.552781245473243810e-03,5.003146782060721720e-02,2.229078052925070885e-02
CPG,15,16,6.745815247752071087e-02,6.745815247752071087e-02,-1.170965557303433879e+00,-1.170965557303433879e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
