method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices,selected_radii
CPG,5,5,2.260909257029105821e-02,0.002368850,0.003646237,2.260909257029105821e-02,8.173565085719371529e-03,6.923120375127496395e-03,7.982893224656392728e-02,2.783523157593683489e-02,2.267103548728176265e-02,2.961726272985343300e-02,1.709384351867477073e-02,1.935884253100776664e-02,7.982893224656392728e-02,4.536065419568019452e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1]","[0, 30, 3, 5, 1]","[0.8, 1.1, 0.83, 0.85, 0.81]"
Angular Defect Greedy,5,5,2.260909257029105821e-02,0.004408075,0.005634231,2.260909257029105821e-02,8.173565085719371529e-03,6.923120375127496395e-03,7.982893224656392728e-02,2.783523157593683489e-02,2.267103548728176265e-02,2.961726272985343300e-02,1.709384351867477073e-02,1.935884253100776664e-02,7.982893224656392728e-02,4.536065419568019452e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1]","[0, 30, 3, 5, 1]","[0.8, 1.1, 0.83, 0.85, 0.81]"
CPG,6,6,2.260909257029105821e-02,0.003478449,0.006014133,2.260909257029105821e-02,6.942038601197741098e-03,4.893435865339539406e-03,7.982893224656392728e-02,2.376723949365701014e-02,1.588239529134613526e-02,2.467212990313529669e-02,1.063825348323840098e-02,1.051154376512582721e-02,7.982893224656392728e-02,4.518821666855052377e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23]","[0, 30, 3, 5, 1, 23]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03]"
Angular Defect Greedy,6,6,2.260909257029105821e-02,0.005805150,0.008323469,2.260909257029105821e-02,6.942038601197741098e-03,4.893435865339539406e-03,7.982893224656392728e-02,2.376723949365701014e-02,1.588239529134613526e-02,2.467212990313529669e-02,1.063825348323840098e-02,1.051154376512582721e-02,7.982893224656392728e-02,4.518821666855052377e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23]","[0, 30, 3, 5, 1, 23]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03]"
CPG,7,7,2.260485228340971403e-02,0.004302222,0.008128955,2.260485228340971403e-02,6.764930303343823746e-03,4.473896642663665116e-03,7.981396050132009978e-02,2.320360024578365862e-02,1.454191780734828687e-02,2.382572548526452200e-02,9.730742364965828950e-03,1.019513906653822521e-02,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2]","[0, 30, 3, 5, 1, 23, 2]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82]"
Angular Defect Greedy,7,7,2.260485228340971403e-02,0.007156110,0.010946900,2.260485228340971403e-02,6.764930303343823746e-03,4.473896642663665116e-03,7.981396050132009978e-02,2.320360024578365862e-02,1.454191780734828687e-02,2.382572548526452200e-02,9.730742364965828950e-03,1.019513906653822521e-02,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2]","[0, 30, 3, 5, 1, 23, 2]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82]"
CPG,8,8,2.260485228340971403e-02,0.005112063,0.010208328,2.260485228340971403e-02,6.471938198356785854e-03,3.989146918877150422e-03,7.981396050132009978e-02,2.225828711979609478e-02,1.303253858156824124e-02,1.783528396952048165e-02,8.206043774663307130e-03,9.463451309498490532e-03,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2, 7]","[0, 30, 3, 5, 1, 23, 2, 7]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87]"
Angular Defect Greedy,8,8,2.260485228340971403e-02,0.008540811,0.013615518,2.260485228340971403e-02,6.471938198356785854e-03,3.989146918877150422e-03,7.981396050132009978e-02,2.225828711979609478e-02,1.303253858156824124e-02,1.783528396952048165e-02,8.206043774663307130e-03,9.463451309498490532e-03,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2, 7]","[0, 30, 3, 5, 1, 23, 2, 7]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87]"
CPG,9,9,2.260485228340971403e-02,0.006198003,0.012827177,2.260485228340971403e-02,6.357993336434342342e-03,3.891817853989989508e-03,7.981396050132009978e-02,2.189566562162492333e-02,1.294999043184057522e-02,1.722611030978945038e-02,7.621170390516260849e-03,8.554464382328456559e-03,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4]","[0, 30, 3, 5, 1, 23, 2, 7, 4]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84]"
Angular Defect Greedy,9,9,2.260485228340971403e-02,0.009971487,0.016490194,2.260485228340971403e-02,6.357993336434342342e-03,3.891817853989989508e-03,7.981396050132009978e-02,2.189566562162492333e-02,1.294999043184057522e-02,1.722611030978945038e-02,7.621170390516260849e-03,8.554464382328456559e-03,7.981396050132009978e-02,4.518563152501273855e-02,4.213248788597660083e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4]","[0, 30, 3, 5, 1, 23, 2, 7, 4]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84]"
CPG,10,10,2.022811492451572282e-02,0.007138701,0.015176307,2.022811492451572282e-02,5.955323209532438489e-03,3.602785637288101039e-03,7.101093372299395468e-02,2.051068985072653991e-02,1.190813080092534629e-02,1.562472859462024632e-02,6.619214845944536643e-03,7.392798721305028631e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09]"
Angular Defect Greedy,10,10,2.022811492451572282e-02,0.011464078,0.019413237,2.022811492451572282e-02,5.955323209532438489e-03,3.602785637288101039e-03,7.101093372299395468e-02,2.051068985072653991e-02,1.190813080092534629e-02,1.562472859462024632e-02,6.619214845944536643e-03,7.392798721305028631e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09]"
CPG,11,11,2.022811492451572282e-02,0.008099360,0.017573656,2.022811492451572282e-02,5.783653126366971285e-03,3.401849804544635099e-03,7.101093372299395468e-02,1.995347849716127414e-02,1.128247959548939888e-02,1.307643794539907825e-02,5.720486856323133383e-03,6.462779243117986773e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89]"
Angular Defect Greedy,11,11,2.022811492451572282e-02,0.012979237,0.022374114,2.022811492451572282e-02,5.783653126366971285e-03,3.401849804544635099e-03,7.101093372299395468e-02,1.995347849716127414e-02,1.128247959548939888e-02,1.307643794539907825e-02,5.720486856323133383e-03,6.462779243117986773e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89]"
CPG,12,12,2.022811492451572282e-02,0.009503594,0.020519854,2.022811492451572282e-02,5.697825263380874514e-03,3.356422794743844050e-03,7.101093372299395468e-02,1.967696365736167075e-02,1.118117998624070658e-02,1.275747088280619786e-02,5.274495179226999265e-03,5.635089389909833830e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88]"
Angular Defect Greedy,12,12,2.022811492451572282e-02,0.014632475,0.025520191,2.022811492451572282e-02,5.557496653753541196e-03,2.579539724473450465e-03,7.101093372299395468e-02,1.921532882878599496e-02,8.576394715744554975e-03,1.255809200616084947e-02,4.529922875072682313e-03,5.066638142798294935e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92]"
CPG,13,13,2.022811492451572282e-02,0.010535745,0.023115915,2.022811492451572282e-02,5.479094116414156418e-03,2.481397387325516915e-03,7.101093372299395468e-02,1.896292742947461307e-02,8.267843603562120836e-03,1.130386788116625497e-02,4.122823843925294517e-03,4.547963371275528903e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92]"
Angular Defect Greedy,13,13,2.022811492451572282e-02,0.016227494,0.028639121,2.022811492451572282e-02,5.479094116414156418e-03,2.481397387325516915e-03,7.101093372299395468e-02,1.896292742947461307e-02,8.267843603562120836e-03,1.130386788116625497e-02,4.122823843925295384e-03,4.547963371275537577e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88]"
CPG,14,14,2.022811492451572282e-02,0.011605955,0.025745924,2.022811492451572282e-02,5.409312997428818680e-03,2.351545438916142605e-03,7.101093372299395468e-02,1.873953865650173148e-02,7.813941663579888550e-03,1.130386788116625497e-02,3.762519371388394623e-03,3.914924560959130023e-03,7.101093372299395468e-02,4.317572801642349800e-02,4.210126956144919635e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86]"
Angular Defect Greedy,14,14,1.910544925334037997e-02,0.018258886,0.032310918,1.910544925334037997e-02,5.243474710368614330e-03,2.351545438916142171e-03,6.745815247752069699e-02,1.815062203209241373e-02,7.734051168311861443e-03,1.110234228540620503e-02,3.620486023319622292e-03,3.911620330250538922e-03,6.745815247752069699e-02,4.185768604640591889e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08]"
CPG,15,15,1.910544925334037997e-02,0.012742137,0.028540172,1.910544925334037997e-02,5.172869124533375010e-03,2.186297234319093015e-03,6.745815247752069699e-02,1.792445051109804732e-02,7.291164583497423274e-03,8.756813486426972062e-03,3.255693247522257073e-03,2.758159266245664015e-03,6.745815247752069699e-02,4.185768604640591889e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08]"
Angular Defect Greedy,15,15,1.910544925334037997e-02,0.019946429,0.035613226,1.910544925334037997e-02,5.172869124533375877e-03,2.186297234319091280e-03,6.745815247752069699e-02,1.792445051109804732e-02,7.291164583497418070e-03,8.756813486426965124e-03,3.255693247522259675e-03,2.758159266245664015e-03,6.745815247752069699e-02,4.185768604640591889e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86]"
CPG,16,16,1.910544925334037997e-02,0.013881144,0.031339638,1.910544925334037997e-02,5.084286216281990074e-03,1.973194120450618393e-03,6.745815247752069699e-02,1.763582758320329444e-02,6.577366184383827072e-03,8.539708746175187631e-03,2.790172396079104028e-03,2.518618652323836057e-16,6.745815247752069699e-02,4.185768604640591889e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91]"
