row,split,radius,residual,relative_residual,selected
0,train,0.8,8.032350411767571914e-17,2.518618652323836057e-16,1
1,train,0.81,7.757927408429000513e-17,2.443062885501852774e-16,1
2,train,0.82,7.811679558179350155e-03,2.467278151020268692e-02,0
3,train,0.83,1.092672501958047437e-19,3.464619255703805119e-19,1
4,train,0.84,5.606157788075838595e-03,1.783528396952048165e-02,0
5,train,0.85,7.376145399710245621e-17,2.353740490344634173e-16,1
6,train,0.86,6.167337597665823248e-03,1.973893572658345572e-02,0
7,train,0.87,8.019875719902931632e-03,2.573835837888707734e-02,0
8,train,0.88,6.856961538857273865e-03,2.207065997312745997e-02,0
9,train,0.89,6.422324224355304388e-03,2.072797178709768345e-02,0
10,train,0.9,6.968709286803828964e-03,2.256487838519865771e-02,0
11,train,0.91,6.814801258465025095e-03,2.212425764293141084e-02,0
12,train,0.92,7.942148199899788999e-03,2.584646726769875349e-02,0
13,train,0.93,5.931148616167300144e-03,1.935884253100776664e-02,0
14,train,0.94,6.877531463451163826e-03,2.250507298207581747e-02,0
15,train,0.95,8.506048828679491774e-03,2.789848843967818529e-02,0
16,train,0.96,8.574769769478492523e-03,2.820152598581180531e-02,0
17,train,0.97,8.105935679496798982e-03,2.673902465699129136e-02,0
18,train,0.98,6.595147863365545711e-03,2.182806874765923569e-02,0
19,train,0.99,5.188229075711525522e-03,1.722798567164134792e-02,0
20,train,1,4.204795187648895441e-03,1.400770211460941085e-02,0
21,train,1.01,5.248681360104143385e-03,1.751721887975014533e-02,0
22,train,1.02,6.811215449226196844e-03,2.277719258936487801e-02,0
23,train,1.03,8.840172992183509271e-03,2.961726272985342606e-02,0
24,train,1.04,3.896773629397305184e-03,1.309258026244488129e-02,0
25,train,1.05,3.005783151451460466e-03,1.012417789334470360e-02,0
26,train,1.06,3.797481126031987484e-03,1.281228714889512399e-02,0
27,train,1.07,3.899987898820606209e-03,1.319063977264721410e-02,0
28,train,1.08,4.063229313870816289e-03,1.377994806822638134e-02,0
29,train,1.09,5.269795718700921554e-03,1.791153596366795026e-02,0
30,train,1.1,7.152448125838782142e-18,2.435822874366670548e-17,1
31,test,1.11,3.508213175634935892e-03,1.196859929726742065e-02,0
32,test,1.12,6.150572793592297763e-03,2.101969402381223539e-02,0
33,test,1.13,7.352906929688066313e-03,2.518326765369139839e-02,0
34,test,1.14,1.005375494178382956e-02,3.452091596665084194e-02,0
35,test,1.15,1.040949102035746560e-02,3.581481381955198273e-02,0
36,test,1.16,1.085366621027251260e-02,3.741456433417893190e-02,0
37,test,1.17,1.031169938832165664e-02,3.561951315376519350e-02,0
38,test,1.18,1.126012940293601855e-02,3.897466858899995001e-02,0
39,test,1.19,1.173411119192471590e-02,4.070801042056711866e-02,0
40,test,1.2,1.212648646162018014e-02,4.214133709659773769e-02,0
41,test,1.21,1.273907840362361633e-02,4.435791352878540317e-02,0
42,test,1.22,1.207787436902233759e-02,4.213248788597660083e-02,0
43,test,1.23,1.264686044130181215e-02,4.413408538209111914e-02,0
44,test,1.24,1.377851116082752861e-02,4.817191208253675944e-02,0
45,test,1.25,1.948770890632190583e-02,6.830964485694784871e-02,0
46,test,1.26,2.029894477680362769e-02,7.125958239664421934e-02,0
47,test,1.27,1.963492580910330618e-02,6.904845824061649207e-02,0
48,test,1.28,2.021750403655022538e-02,7.124402874267851682e-02,0
49,test,1.29,2.260909257029105821e-02,7.982893224656394116e-02,0
