row,radius,radius_folder,original_shape,source
0,0.8,rad=0.8,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.8/lambda.npy
1,0.81,rad=0.81,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.81/lambda.npy
2,0.82,rad=0.82,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.82/lambda.npy
3,0.83,rad=0.83,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.83/lambda.npy
4,0.84,rad=0.84,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.84/lambda.npy
5,0.85,rad=0.85,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.85/lambda.npy
6,0.86,rad=0.86,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.86/lambda.npy
7,0.87,rad=0.87,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.87/lambda.npy
8,0.88,rad=0.88,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.88/lambda.npy
9,0.89,rad=0.89,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.89/lambda.npy
10,0.9,rad=0.9,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.9/lambda.npy
11,0.91,rad=0.91,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.91/lambda.npy
12,0.92,rad=0.92,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.92/lambda.npy
13,0.93,rad=0.93,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.93/lambda.npy
14,0.94,rad=0.94,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.94/lambda.npy
15,0.95,rad=0.95,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.95/lambda.npy
16,0.96,rad=0.96,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.96/lambda.npy
17,0.97,rad=0.97,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.97/lambda.npy
18,0.98,rad=0.98,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.98/lambda.npy
19,0.99,rad=0.99,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.99/lambda.npy
20,1,rad=1,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1/lambda.npy
21,1.01,rad=1.01,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.01/lambda.npy
22,1.02,rad=1.02,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.02/lambda.npy
23,1.03,rad=1.03,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.03/lambda.npy
24,1.04,rad=1.04,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.04/lambda.npy
25,1.05,rad=1.05,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.05/lambda.npy
26,1.06,rad=1.06,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.06/lambda.npy
27,1.07,rad=1.07,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.07/lambda.npy
28,1.08,rad=1.08,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.08/lambda.npy
29,1.09,rad=1.09,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.09/lambda.npy
30,1.1,rad=1.1,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.1/lambda.npy
31,1.11,rad=1.11,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.11/lambda.npy
32,1.12,rad=1.12,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.12/lambda.npy
33,1.13,rad=1.13,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.13/lambda.npy
34,1.14,rad=1.14,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.14/lambda.npy
35,1.15,rad=1.15,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.15/lambda.npy
36,1.16,rad=1.16,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.16/lambda.npy
37,1.17,rad=1.17,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.17/lambda.npy
38,1.18,rad=1.18,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.18/lambda.npy
39,1.19,rad=1.19,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.19/lambda.npy
40,1.2,rad=1.2,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.2/lambda.npy
41,1.21,rad=1.21,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.21/lambda.npy
42,1.22,rad=1.22,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.22/lambda.npy
43,1.23,rad=1.23,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.23/lambda.npy
44,1.24,rad=1.24,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.24/lambda.npy
45,1.25,rad=1.25,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.25/lambda.npy
46,1.26,rad=1.26,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.26/lambda.npy
47,1.27,rad=1.27,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.27/lambda.npy
48,1.28,rad=1.28,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.28/lambda.npy
49,1.29,rad=1.29,57x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.29/lambda.npy
