radius,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56
8.000000000000000444e-01,5.252889412600902919e-02,1.125340428913125523e-01,1.099361732413633580e-01,1.074618023966407571e-01,9.410125328129881339e-02,1.002414384984446488e-01,1.006693696944085253e-01,9.378087191331661854e-02,7.904771390266995823e-02,7.965482236791859849e-02,7.693851425161318813e-02,6.072111067513877997e-02,4.452830395307727507e-02,2.523291480626789832e-02,1.379888219901523690e-06,7.905269964827947848e-08,1.517971154351570220e-08,5.032395194624287443e-09,2.239959500489278194e-09,1.185857678330168308e-09,7.047328380582751350e-10,4.319831714560962155e-10,2.932827591894948682e-10,2.038522198266612406e-10,1.570277761986371701e-10,1.284035239246250626e-10,1.076992818928659834e-10,9.181888721023455380e-11,8.020039385207844429e-11,7.073261670386549183e-11,6.284993136484464359e-11,5.587148370908914807e-11,5.012217715897541569e-11,4.552736194446150306e-11,4.180209749075696705e-11,3.860842631451329339e-11,3.583519311300162151e-11,3.341104877572359522e-11,3.135086092302479498e-11,2.972143586931229103e-11,2.807621561455586612e-11,2.678862030613222631e-11,2.558526106736624516e-11,2.442964390893601068e-11,2.337075022710525390e-11,2.241224507414443790e-11,2.155308846977718740e-11,2.079051346229668362e-11,1.948185991869355593e-11,1.989446107852899104e-11,1.864305064491755815e-11,1.782337819000723300e-11,1.702145716042657853e-11,1.923935316616720570e-11,1.645913266790088869e-11,1.840488178528332242e-11,8.701150910894739354e-12
8.100000000000000533e-01,5.258239363020450474e-02,1.115119649177428729e-01,1.086988225410996378e-01,1.063590162866335925e-01,9.827694061208050447e-02,9.514772834569146243e-02,9.942189033826084876e-02,9.200289539238544478e-02,8.717492322487035983e-02,7.223018611988236970e-02,7.678977637384061528e-02,6.046834568357949830e-02,5.025731474641517704e-02,2.353222814785365519e-02,2.857207422520608438e-06,1.122016101275926782e-07,1.888146498899528322e-08,5.713549001986847377e-09,2.433416131737611149e-09,1.277208205949925679e-09,7.439089136362930788e-10,4.762112371103910391e-10,3.341829590830514007e-10,2.459437965784960767e-10,1.923942810622136790e-10,1.584624584327620767e-10,1.342120069594554543e-10,1.161563488623340579e-10,1.019250265785198728e-10,9.158512088904696702e-11,8.282471242052405480e-11,7.533548155962133119e-11,6.889763995323976153e-11,6.310400416168333816e-11,5.817109966464728554e-11,5.398523858848869317e-11,5.040941085778308239e-11,4.731887719654735702e-11,4.462539026999466640e-11,4.225107108729825138e-11,4.012884371584063414e-11,3.815143543423570038e-11,3.636440806678922777e-11,3.474991290813161937e-11,3.329095311054020012e-11,3.197356919157345878e-11,3.079974036229726764e-11,2.932006547273768859e-11,2.734903969958679681e-11,2.883080037728580347e-11,2.588236916456487791e-11,2.442476776387536574e-11,2.797188869418931745e-11,2.428278758626056799e-11,2.542699384378011018e-11,2.818573152651993041e-11,1.426311846408623296e-11
8.199999999999999512e-01,5.263651931331608802e-02,1.108516963564142588e-01,1.079563850865172953e-01,1.053689974228853438e-01,1.011914054227859294e-01,9.193578965992733887e-02,9.743488920732347458e-02,9.469035936516050078e-02,8.681476652342180744e-02,7.485174837706250195e-02,6.978205964194382493e-02,6.610414652999310747e-02,4.718778472366805254e-02,2.587427409683297486e-02,6.838011523429820923e-06,2.231055409708953279e-07,4.360064806666373105e-08,1.516999322481797337e-08,7.025687956754844699e-09,3.739218906728680736e-09,2.210549757131197168e-09,1.404059479792607590e-09,8.960340733277227798e-10,6.389507378051773046e-10,4.798756849788005097e-10,3.805670075406573927e-10,3.094653692916997378e-10,2.567621038473879430e-10,2.188360031312136349e-10,1.876658536686601209e-10,1.678019589429382685e-10,1.506277436629085628e-10,1.357116586602901027e-10,1.227953979513298540e-10,1.116149375064395106e-10,1.019381078395297842e-10,9.355518753291036486e-11,8.625308521275475995e-11,7.988978664352722073e-11,7.430197778864034396e-11,6.937310233341394735e-11,6.501052144801833937e-11,6.112647339318500080e-11,5.766651137726133691e-11,5.461190093897227982e-11,5.201751064663837770e-11,5.077882713378119306e-11,4.890548642460688586e-11,4.585509765951331640e-11,4.731850192707040548e-11,4.451838377106387412e-11,4.384231953175055096e-11,4.216072434747031306e-11,4.108333985508583197e-11,4.049663555882876409e-11,3.997043668269029126e-11,1.550798378602280536e-11
8.299999999999999600e-01,5.269293694500321035e-02,1.099902806196402377e-01,1.070123283049256302e-01,1.041218221465429888e-01,1.030011466968639156e-01,9.201189627179917618e-02,9.421172901268724809e-02,9.368454188739633315e-02,8.557282930963938661e-02,7.980596592492139596e-02,6.693821717834087803e-02,6.182538181176919223e-02,5.384129773849789802e-02,2.599128970622956863e-02,4.360668539414997795e-06,1.222487469156987618e-07,1.643242516845357579e-08,4.287502391897460123e-09,1.736025104595063928e-09,9.280722184680512132e-10,5.884222917945658438e-10,4.141611290031654846e-10,3.075047855238821626e-10,2.431477727493636110e-10,2.018262137276627399e-10,1.723121393834570192e-10,1.508124857635406713e-10,1.339367132827118390e-10,1.202379170078642090e-10,1.089392281895459891e-10,9.936636719538416256e-11,9.155246698966000227e-11,8.483649937743699757e-11,7.897664091952580952e-11,7.382997889357671250e-11,6.928254061408289704e-11,6.525241414993880823e-11,6.165334569778599047e-11,5.842979697338678653e-11,5.552797827597963191e-11,5.290605148463157874e-11,5.053323466055678614e-11,4.838617622348294345e-11,4.645213986075448324e-11,4.477640111986980198e-11,4.311761679035713835e-11,4.159815000055397394e-11,4.027000369451194661e-11,3.792894991139217353e-11,3.905075460046425473e-11,3.689990066974013772e-11,3.622725557039796485e-11,3.505974070089346029e-11,3.494253844604777726e-11,3.493470443483026600e-11,3.502820949963236785e-11,9.525324973225224312e-12
8.399999999999999689e-01,5.275698372280346327e-02,1.093234485079880858e-01,1.062752889532388306e-01,1.035706754280770053e-01,1.022198777095496003e-01,9.542513675305069887e-02,9.013785667859874895e-02,9.189046863738732640e-02,8.850469725936907506e-02,7.821091572333024877e-02,7.155428517266468336e-02,5.677438913833979250e-02,5.286239650562792047e-02,2.890507746117524160e-02,4.715721462272671493e-06,1.528056071646213057e-07,2.588002814428608019e-08,8.639392176766691684e-09,3.927082530252642826e-09,2.125536932364568011e-09,1.293250790586000657e-09,8.253020954357773165e-10,5.662705165887516046e-10,3.995104663756521290e-10,3.108306598220700323e-10,2.520772705155716054e-10,2.122994028838642855e-10,1.820331927185857290e-10,1.595505750629812314e-10,1.413244294641124565e-10,1.261176974689365814e-10,1.132047296674743866e-10,1.033453877868952269e-10,9.513064674874805457e-11,8.798655615214128834e-11,8.170396239377394009e-11,7.615201845949718090e-11,7.123399902194454329e-11,6.687626356523029749e-11,6.299058425114845627e-11,5.954101936390553042e-11,5.652848439111047250e-11,5.407791795540941616e-11,5.171588938340798691e-11,4.969959070550149412e-11,4.781556729811157862e-11,4.605802029914243811e-11,4.443831554904603687e-11,4.162240766891062149e-11,4.296598125029527093e-11,4.151704847965564937e-11,3.946680612529340770e-11,3.989290495165498385e-11,4.049227619873363437e-11,4.126567143547532623e-11,3.690539887579724621e-11,1.107802738431473699e-11
8.499999999999999778e-01,5.279471020904957790e-02,1.086495669422107291e-01,1.051099053267686573e-01,1.042776883882914202e-01,1.007501457776720372e-01,9.870552117469921782e-02,8.732346156293530060e-02,9.085649948398906439e-02,8.789716926813032072e-02,7.787874843531598923e-02,7.182939820013929666e-02,6.073659381516990918e-02,4.777372381164135540e-02,3.158342334786320288e-02,7.768051219158320173e-06,2.087967586446955258e-07,3.636949363359373512e-08,1.255041693122316846e-08,5.771598408671908126e-09,3.110616544251269995e-09,1.828796530878307181e-09,1.160130640859291518e-09,7.913524557867646081e-10,5.365603170104371600e-10,4.025598500378979594e-10,3.142009760009889519e-10,2.588660692054434165e-10,2.184438311660097387e-10,1.906380590497788741e-10,1.680620619884040656e-10,1.493632396855782557e-10,1.334854853628268206e-10,1.194858844299432482e-10,1.081530873736082869e-10,9.888001694359168682e-11,9.120104005699391884e-11,8.456865397310671384e-11,7.876468185289450634e-11,7.370335517299739930e-11,6.935066842355449429e-11,6.586839773159262890e-11,6.237634359224954184e-11,5.962581273719676916e-11,5.706162719591669104e-11,5.458714415814552856e-11,5.230908951435117582e-11,5.023810913714482629e-11,4.835733462965619012e-11,4.604571064714679807e-11,4.668437901880762020e-11,4.392216619705444081e-11,4.352237494009703056e-11,4.327005767579272799e-11,4.317666016384613670e-11,4.276446557982538366e-11,4.063321207281589409e-11,1.167071994601087681e-11
8.599999999999999867e-01,5.286688626268920554e-02,1.080030425067868560e-01,1.044864343362983672e-01,1.035905444127432073e-01,1.002213311400776269e-01,9.806128407296385574e-02,9.116410217270252969e-02,8.623422279057396667e-02,8.616501483756613955e-02,8.083767633332053504e-02,7.044271503846222249e-02,6.184258179944185363e-02,4.912894817156818195e-02,3.077403101288997411e-02,3.318710429175813755e-05,2.911977038133753975e-07,4.376855039321424898e-08,1.437131400011619335e-08,6.578101100362541889e-09,3.561043404164826454e-09,2.155255118471699483e-09,1.413736620825556400e-09,9.715099280604988508e-10,7.123833259403689055e-10,5.332519781645062018e-10,4.319355446230632722e-10,3.620752116097886164e-10,3.101977388671119280e-10,2.700984815038991183e-10,2.426741256946265968e-10,2.193361225879663506e-10,1.993067238212440501e-10,1.820252571277890512e-10,1.666174133071237490e-10,1.530776043405935715e-10,1.416229832043006294e-10,1.318708717256474733e-10,1.234975035375920210e-10,1.162421696713437230e-10,1.098931408518395367e-10,1.042829933666530699e-10,9.926276976350871181e-11,9.455630129931317032e-11,9.023952958031426774e-11,8.632135259953148398e-11,8.275305099373145290e-11,7.952574758657640630e-11,7.663305537017328639e-11,7.197521287197021500e-11,7.418163999739491032e-11,6.968501990722852923e-11,6.751528676407492213e-11,6.548266789918599784e-11,7.241533067636751753e-11,6.521622478161681613e-11,6.345249672912167682e-11,2.309213931184217472e-11
8.699999999999999956e-01,5.294117321516617070e-02,1.074163231921698852e-01,1.039214217375645372e-01,1.029620443041227157e-01,9.982164167216114881e-02,9.715734234972875361e-02,9.406671994980005114e-02,8.433103261093907732e-02,8.446962704857891024e-02,7.917575950832890508e-02,7.355843614517906803e-02,6.066416325750480232e-02,5.036628762729656456e-02,3.085549221599656611e-02,9.922744390372689087e-05,3.160243576241931068e-07,4.381024620942864364e-08,1.452914309576424786e-08,6.846455240832791632e-09,3.904703139924643740e-09,2.517402626200232474e-09,1.767778675179632053e-09,1.298303013708146381e-09,1.022741280554129162e-09,8.045727972749716628e-10,6.660904241367893164e-10,5.734528928102999856e-10,5.079359042745035246e-10,4.549120872750569977e-10,4.091110445206269652e-10,3.733060465025035690e-10,3.427197122287967829e-10,3.163473749585388531e-10,2.934502380742593126e-10,2.734418915389469698e-10,2.558736378464496978e-10,2.403530532899835447e-10,2.265595060631242236e-10,2.142985401135235951e-10,2.032880492427676690e-10,1.933758554725892222e-10,1.844130696605317081e-10,1.762802836645024906e-10,1.688810662224104336e-10,1.621185708464492614e-10,1.559373819307041664e-10,1.503033908271944608e-10,1.441062356249966925e-10,1.351020059714436172e-10,1.406115605895319476e-10,1.296043342091657280e-10,1.242823170766182983e-10,1.191181875359603737e-10,1.288250166264770513e-10,1.176676317146685413e-10,1.288756948381042378e-10,5.637695865701175535e-11
8.800000000000000044e-01,5.302000710340154521e-02,1.068581889808265101e-01,1.033887142707876905e-01,1.023855569765108053e-01,9.939191103354325096e-02,9.673225749876424029e-02,9.344702696916187823e-02,8.827247488528258690e-02,8.016262033755419680e-02,7.864845612842531752e-02,7.181334972072854483e-02,6.415923658942916663e-02,4.977460644982435040e-02,3.160126525810885018e-02,1.301435127216521805e-04,3.832627015576039691e-07,4.945165265495739366e-08,1.642686024355584091e-08,7.961132793960195436e-09,4.671446332299607207e-09,3.078085778829894176e-09,2.162061080515642608e-09,1.613683856677150530e-09,1.267742050226061679e-09,1.030524644785035804e-09,8.492859462569390949e-10,7.283914096878341127e-10,6.435920060776645357e-10,5.759243073763520293e-10,5.201666408802957386e-10,4.719909023082752286e-10,4.341595857782973300e-10,4.014716019481653908e-10,3.728753239604521569e-10,3.477123220970747275e-10,3.254876880783648570e-10,3.057850825576979154e-10,2.882497909727720596e-10,2.725825542658402018e-10,2.585172628131451530e-10,2.458449495953800301e-10,2.343787128896053507e-10,2.239784854438618689e-10,2.145189609715353329e-10,2.059272240576004442e-10,1.982149030414076529e-10,1.893235490255107401e-10,1.848618888040031924e-10,1.688577871278296172e-10,1.768486997469342903e-10,1.610650640637700803e-10,1.534150584348026314e-10,1.686191325456221080e-10,1.491054571478578339e-10,1.591758148900002112e-10,1.725920240058798072e-10,7.993983253129499644e-11
8.900000000000000133e-01,5.307875886519480835e-02,1.062890549830908388e-01,1.027816957469282338e-01,1.013830611196115256e-01,1.001704995967972467e-01,9.591969849953299598e-02,9.276063490340105688e-02,8.901886967404866458e-02,8.230745049054719042e-02,7.519428587990827084e-02,7.136702986362460088e-02,6.259049534572982965e-02,5.333440453630573092e-02,3.154191225505458690e-02,9.549707959303844259e-05,3.752687952609052269e-07,4.682481936746200630e-08,1.513620711640585245e-08,7.165499987522687408e-09,4.124259646038491711e-09,2.672335408515635891e-09,1.867440480030069239e-09,1.399780902300307162e-09,1.065200330718774069e-09,8.613722408956636656e-10,7.181049539728423525e-10,6.148597078529938198e-10,5.415307121996171258e-10,4.837169606921112863e-10,4.361525231418288823e-10,3.962110448012105303e-10,3.618032668912542736e-10,3.341077401246565944e-10,3.103775756915262696e-10,2.895441918046798638e-10,2.711083988055952576e-10,2.547251920907733259e-10,2.401025473751437593e-10,2.270191761255546409e-10,2.152622507260964872e-10,2.046676129017154476e-10,1.950915094823721906e-10,1.864677194186978477e-10,1.788056919053201271e-10,1.717332305008201221e-10,1.654525549768873227e-10,1.596393957679226056e-10,1.541282518822441328e-10,1.442817876892016349e-10,1.490179804639751859e-10,1.398970364465540461e-10,1.378219144712589106e-10,1.326645330049225358e-10,1.297326972411749768e-10,1.279832975709105369e-10,1.265180876730553905e-10,4.357214589134628113e-11
