row,radius,radius_folder,original_shape,source
0,0.8,rad=0.8,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.8/res.npy
1,0.81,rad=0.81,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.81/res.npy
2,0.82,rad=0.82,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.82/res.npy
3,0.83,rad=0.83,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.83/res.npy
4,0.84,rad=0.84,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.84/res.npy
5,0.85,rad=0.85,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.85/res.npy
6,0.86,rad=0.86,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.86/res.npy
7,0.87,rad=0.87,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.87/res.npy
8,0.88,rad=0.88,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.88/res.npy
9,0.89,rad=0.89,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.89/res.npy
10,0.9,rad=0.9,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.9/res.npy
11,0.91,rad=0.91,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.91/res.npy
12,0.92,rad=0.92,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.92/res.npy
13,0.93,rad=0.93,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.93/res.npy
14,0.94,rad=0.94,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.94/res.npy
15,0.95,rad=0.95,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.95/res.npy
16,0.96,rad=0.96,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.96/res.npy
17,0.97,rad=0.97,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.97/res.npy
18,0.98,rad=0.98,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.98/res.npy
19,0.99,rad=0.99,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=0.99/res.npy
20,1,rad=1,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1/res.npy
21,1.01,rad=1.01,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.01/res.npy
22,1.02,rad=1.02,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.02/res.npy
23,1.03,rad=1.03,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.03/res.npy
24,1.04,rad=1.04,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.04/res.npy
25,1.05,rad=1.05,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.05/res.npy
26,1.06,rad=1.06,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.06/res.npy
27,1.07,rad=1.07,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.07/res.npy
28,1.08,rad=1.08,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.08/res.npy
29,1.09,rad=1.09,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.09/res.npy
30,1.1,rad=1.1,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.1/res.npy
31,1.11,rad=1.11,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.11/res.npy
32,1.12,rad=1.12,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.12/res.npy
33,1.13,rad=1.13,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.13/res.npy
34,1.14,rad=1.14,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.14/res.npy
35,1.15,rad=1.15,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.15/res.npy
36,1.16,rad=1.16,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.16/res.npy
37,1.17,rad=1.17,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.17/res.npy
38,1.18,rad=1.18,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.18/res.npy
39,1.19,rad=1.19,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.19/res.npy
40,1.2,rad=1.2,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.2/res.npy
41,1.21,rad=1.21,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.21/res.npy
42,1.22,rad=1.22,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.22/res.npy
43,1.23,rad=1.23,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.23/res.npy
44,1.24,rad=1.24,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.24/res.npy
45,1.25,rad=1.25,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.25/res.npy
46,1.26,rad=1.26,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.26/res.npy
47,1.27,rad=1.27,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.27/res.npy
48,1.28,rad=1.28,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.28/res.npy
49,1.29,rad=1.29,3696x1,FEM_SOLS 1.zip!FEM_SOLS/rad=1.29/res.npy
