method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices
CPG,2,2,1.420501249571788907e+08,0.008875711,0.017724719,2.606838525906025171e+08,1.011818515137775093e+08,1.056727724193232954e+08,8.595357382906589905e-01,1.358078112613576582e-01,4.648689088842266476e-02,8.595357382906589905e-01,1.622611019249569353e-01,4.875867534149522231e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38]","[76, 38]"
Angular Defect Greedy,2,2,2.781832236936620474e+08,0.004384252,0.013642891,2.781832236936620474e+08,1.668449571405871809e+08,1.814845573416232467e+08,5.272586560255310140e-01,1.694912659877653993e-01,1.058976712663294850e-01,5.272586560255310140e-01,2.042560584669717294e-01,1.605939907136542666e-01,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76]","[2, 76]"
CPG,3,3,1.354659615733473897e+08,1.316094285,1.333627408,2.606838525906025171e+08,8.098791434735099971e+07,6.661972378785501420e+07,8.346034851031758350e-01,9.267914290597278892e-02,4.211055595504911014e-02,8.346034851031758350e-01,1.084902946247368050e-01,4.668916674687229734e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23]","[76, 38, 23]"
Angular Defect Greedy,3,3,2.593527769183620214e+08,0.179765993,0.196910630,2.606838525906025171e+08,1.512547583789232373e+08,1.625113132941638827e+08,3.029935216269774023e-01,1.252825072920845106e-01,9.646828661815839978e-02,3.029935216269774023e-01,1.491386450282007892e-01,1.371156252687353860e-01,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5]","[2, 76, 5]"
CPG,4,4,8.567111051860743761e+07,1.358400221,1.387250438,2.606838525906025171e+08,6.364978380592802912e+07,5.460009435605174303e+07,8.346034851031758350e-01,8.654964389958619275e-02,3.299789303181908939e-02,8.346034851031758350e-01,1.008483218375535312e-01,3.326602803227604599e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59]","[76, 38, 23, 59]"
Angular Defect Greedy,4,4,2.216137695556145310e+08,0.354189527,0.380835478,2.606838525906025171e+08,1.220717482212074548e+08,1.279808597956658006e+08,2.941365704780808943e-01,7.919683282671000080e-02,7.034261237284678003e-02,2.941365704780808943e-01,9.168118075968191560e-02,9.773090375968154775e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14]","[2, 76, 5, 14]"
CPG,5,5,6.934396550378894806e+07,1.411161788,1.452498854,2.606838525906025171e+08,5.683708593037670851e+07,4.716889198055081069e+07,8.346034851031758350e-01,8.364905772088804259e-02,2.595827299536934696e-02,8.346034851031758350e-01,9.723200660177404309e-02,2.405764200131822392e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51]","[76, 38, 23, 59, 51]"
Angular Defect Greedy,5,5,2.216137695556145310e+08,0.538174365,0.576036733,2.606838525906025171e+08,1.219557886044164896e+08,1.279808597956658006e+08,1.602567165681568484e-01,7.562345337225602482e-02,6.746950121362470243e-02,1.602567165681568484e-01,8.722605832296007056e-02,9.432457246635893300e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3]","[2, 76, 5, 14, 3]"
CPG,6,6,6.664940037761326879e+07,1.463007240,1.518834786,2.606838525906025171e+08,5.131354414201446623e+07,3.209437659605623037e+07,7.993569188551038485e-01,5.905621036096042609e-02,2.496863491167676530e-02,7.993569188551038485e-01,6.657079430887725968e-02,2.084610963327436159e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12]","[76, 38, 23, 59, 51, 12]"
Angular Defect Greedy,6,6,1.772774822403398454e+08,0.732040712,0.791915467,2.606838525906025171e+08,9.398794675341729820e+07,9.092913027177540958e+07,1.577279031739277082e-01,5.242091299309766667e-02,4.872887877160973769e-02,1.577279031739277082e-01,5.829821577232105478e-02,6.186303898024277798e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28]","[2, 76, 5, 14, 3, 28]"
