row,split,displacement_mm,method,residual,relative
0,train,0.18,Angular Defect Greedy,9.327830427382243533e-68,9.327830427382242544e-67
1,train,0.185,Angular Defect Greedy,2.086430683214525402e-67,2.086430683214525336e-66
2,train,0.19,Angular Defect Greedy,1.090681084034350155e-09,1.206583297414891249e-16
3,train,0.195,Angular Defect Greedy,7.293399007840587105e-10,2.497824292067985177e-17
4,train,0.2,Angular Defect Greedy,2.445822024023587694e-09,4.702729602305223335e-17
5,train,0.205,Angular Defect Greedy,1.372089425767172079e-08,1.793551274665792759e-16
6,train,0.21,Angular Defect Greedy,2.549492277564497996e-08,2.494470849824012260e-16
7,train,0.215,Angular Defect Greedy,4.194187253611468405e-09,3.255519751624428037e-17
8,train,0.22,Angular Defect Greedy,1.157326957318043918e-08,7.409112173934187741e-17
9,train,0.225,Angular Defect Greedy,4.991988009929545999e-09,2.710096037840578676e-17
10,train,0.23,Angular Defect Greedy,1.811272812501974877e-11,8.516169163889290224e-20
11,train,0.235,Angular Defect Greedy,1.530118477005215249e-11,6.332441186279867359e-20
12,train,0.24,Angular Defect Greedy,1.173870472128464149e-11,4.332281478522115163e-20
13,train,0.245,Angular Defect Greedy,1.331995611694098194e-08,4.431119836940822517e-17
14,train,0.25,Angular Defect Greedy,1.293443468010937957e-10,3.912796986822729458e-19
15,train,0.255,Angular Defect Greedy,1.144584908621719760e-07,3.172171048445170775e-16
16,train,0.26,Angular Defect Greedy,6.809660758111882024e+06,1.740358080409042107e-02
17,train,0.265,Angular Defect Greedy,5.431482430935482598e-08,1.287188182692903164e-16
18,train,0.27,Angular Defect Greedy,6.905063357010683045e+06,1.524755467866033103e-02
19,train,0.275,Angular Defect Greedy,2.668876542142827883e-08,5.514696049502275239e-17
20,train,0.28,Angular Defect Greedy,1.285126035644635732e-07,2.494523198616909078e-16
21,train,0.285,Angular Defect Greedy,6.565259193591886200e+06,1.201201318721228060e-02
22,train,0.29,Angular Defect Greedy,7.654754006758418866e+06,1.324088880598824416e-02
23,train,0.295,Angular Defect Greedy,1.359670612021878750e-07,2.229541075970185554e-16
24,train,0.3,Angular Defect Greedy,1.842382167589017889e+06,2.871544412882679614e-03
25,train,0.31,Angular Defect Greedy,9.041134381369363387e-12,1.342277973842557922e-20
26,train,0.32,Angular Defect Greedy,1.233366950096684708e-08,1.671809255279338695e-17
27,train,0.33,Angular Defect Greedy,1.208368656445107795e+07,1.506046269213645074e-02
28,train,0.34,Angular Defect Greedy,1.363131602532812303e-07,1.571670357839709432e-16
29,train,0.35,Angular Defect Greedy,1.378412611833336018e+07,1.478197302018950839e-02
30,train,0.36,Angular Defect Greedy,1.249409021819767915e+07,1.251899277567873441e-02
31,train,0.37,Angular Defect Greedy,1.318647662621903615e-07,1.239422860269461583e-16
32,train,0.38,Angular Defect Greedy,1.781354041153517552e+06,1.576662815422991875e-03
33,train,0.39,Angular Defect Greedy,4.181219634742669969e-07,3.495444155039054628e-16
34,train,0.4,Angular Defect Greedy,4.025915790398333920e+05,3.188831522624160572e-04
35,train,0.41,Angular Defect Greedy,5.275543077235046555e-08,3.968719533563241261e-17
36,train,0.42,Angular Defect Greedy,2.499024514155666344e+06,1.790223895631682391e-03
37,train,0.43,Angular Defect Greedy,3.175383464344956446e+06,2.170599657510106310e-03
38,train,0.44,Angular Defect Greedy,6.210408037793435888e-08,4.058753129788111874e-17
39,train,0.45,Angular Defect Greedy,3.679333648327309056e+05,2.303640168525730400e-04
40,train,0.46,Angular Defect Greedy,7.167562353023483884e+05,4.305982156875168645e-04
41,train,0.47,Angular Defect Greedy,5.935654871269282855e-07,3.426628286994696766e-16
42,train,0.48,Angular Defect Greedy,3.418441026673856191e+06,1.899499165041004757e-03
43,train,0.49,Angular Defect Greedy,2.304317568953680806e+06,1.234073611222738899e-03
44,train,0.5,Angular Defect Greedy,1.252853910682058660e+06,6.474437960072384644e-04
45,train,0.51,Angular Defect Greedy,3.006975334228561423e-07,1.501141913109040036e-16
46,train,0.52,Angular Defect Greedy,7.667862068373857997e+06,3.702390064590427906e-03
47,train,0.53,Angular Defect Greedy,6.235176216563454829e+06,2.915091884594053686e-03
48,train,0.54,Angular Defect Greedy,4.902744321821616031e+06,2.221454481258366368e-03
49,train,0.55,Angular Defect Greedy,3.780230337921777274e+06,1.661461985860587104e-03
50,train,0.56,Angular Defect Greedy,3.045547225103940349e+06,1.299488259004922012e-03
51,train,0.57,Angular Defect Greedy,2.840717567182127811e-07,1.177661414862537765e-16
52,train,0.58,Angular Defect Greedy,3.317221074054973200e+06,1.337385427701958014e-03
53,train,0.59,Angular Defect Greedy,3.460349310425285250e+06,1.357707324225372126e-03
54,train,0.6,Angular Defect Greedy,3.942543597611549776e+06,1.506450780868287022e-03
55,train,0.61,Angular Defect Greedy,4.659567563839104958e+06,1.734969987207845470e-03
56,train,0.62,Angular Defect Greedy,5.516408097446789034e+06,2.002785971345544778e-03
57,train,0.63,Angular Defect Greedy,6.433017022082819603e+06,2.278648954382060665e-03
58,train,0.64,Angular Defect Greedy,6.906177283517347649e+06,2.387965974223369651e-03
59,train,0.65,Angular Defect Greedy,5.766543231870537040e-08,1.947561226899326881e-17
60,train,0.66,Angular Defect Greedy,6.464579081831461750e+06,2.133881982805999142e-03
61,train,0.67,Angular Defect Greedy,1.278364161665024608e+07,4.126183504737325133e-03
62,train,0.68,Angular Defect Greedy,1.917009581611872092e+07,6.053153266640428840e-03
63,train,0.69,Angular Defect Greedy,2.557347801838953048e+07,7.903197470664913987e-03
64,train,0.7,Angular Defect Greedy,3.198361907279555500e+07,9.677907273238485139e-03
65,train,0.71,Angular Defect Greedy,3.839713251091922075e+07,1.138077717743517236e-02
66,train,0.72,Angular Defect Greedy,4.481257040337964892e+07,1.301560436371075949e-02
67,train,0.73,Angular Defect Greedy,5.122628247002242506e+07,1.458527753734839560e-02
68,train,0.74,Angular Defect Greedy,5.755412463280472904e+07,1.607001394782709564e-02
69,train,0.75,Angular Defect Greedy,6.321040582614621520e+07,1.731423346811324093e-02
70,train,0.76,Angular Defect Greedy,6.263045782823684812e+07,1.683626855808739026e-02
71,train,0.77,Angular Defect Greedy,5.304256071353960037e+07,1.399921747531485822e-02
72,train,0.78,Angular Defect Greedy,4.243404857083230466e+07,1.099897041460625759e-02
73,train,0.79,Angular Defect Greedy,3.182553642812356353e+07,8.104068003870793305e-03
74,train,0.8,Angular Defect Greedy,2.121702428541528061e+07,5.309199230721713125e-03
75,train,0.81,Angular Defect Greedy,1.060851214270839654e+07,2.609394615250898095e-03
76,train,0.82,Angular Defect Greedy,6.195514492379660989e-07,1.498384223781293700e-16
77,test,0.83,Angular Defect Greedy,1.518163953924817033e+07,3.611114321357698168e-03
78,test,0.84,Angular Defect Greedy,3.036327907849349827e+07,7.104945739630852755e-03
79,test,0.85,Angular Defect Greedy,4.554491861773218960e+07,1.048699473315803724e-02
80,test,0.86,Angular Defect Greedy,6.072655815698314458e+07,1.376243072622953569e-02
81,test,0.87,Angular Defect Greedy,7.590819769622789323e+07,1.693611603420972986e-02
82,test,0.88,Angular Defect Greedy,9.108920703897865117e+07,2.001248956845671015e-02
83,test,0.89,Angular Defect Greedy,1.062415390219852477e+08,2.298981302144760194e-02
84,test,0.9,Angular Defect Greedy,1.213990081659916043e+08,2.587962782203531015e-02
85,test,0.91,Angular Defect Greedy,1.363982755985394716e+08,2.865148066499066323e-02
86,test,0.92,Angular Defect Greedy,1.505965023362254798e+08,3.117770609150580241e-02
87,test,0.93,Angular Defect Greedy,1.629636669013139606e+08,3.325921595926484287e-02
88,test,0.94,Angular Defect Greedy,1.735148469839465916e+08,3.491798358483880205e-02
89,test,0.95,Angular Defect Greedy,1.843901466387273371e+08,3.659532276050053018e-02
90,test,0.96,Angular Defect Greedy,1.958284370172088742e+08,3.833706424906252463e-02
91,test,0.97,Angular Defect Greedy,2.078875961670030653e+08,4.015169245625389155e-02
92,test,0.98,Angular Defect Greedy,2.204817906620118022e+08,4.201991606317960481e-02
93,test,0.99,Angular Defect Greedy,2.335244716617575586e+08,4.392332515277095478e-02
94,test,1,Angular Defect Greedy,2.469445872948403060e+08,4.584733771539743069e-02
95,test,1.01,Angular Defect Greedy,2.606838525906025469e+08,4.778045620436223440e-02
0,train,0.18,CPG,1.004646844663499765e-67,1.004646844663499699e-66
1,train,0.185,CPG,3.058702542991836365e-67,3.058702542991836102e-66
2,train,0.19,CPG,4.702613960894970223e+06,5.202341493278574980e-01
3,train,0.195,CPG,0.000000000000000000e+00,0.000000000000000000e+00
4,train,0.2,CPG,8.714039284999852605e-09,1.675500919474271580e-16
5,train,0.205,CPG,6.641845816098033451e+06,8.682007751014986230e-02
6,train,0.21,CPG,1.526271351557669643e-08,1.493332389701967526e-16
7,train,0.215,CPG,9.668006366593562864e-09,7.504287191320456639e-17
8,train,0.22,CPG,6.441314407610503957e+06,4.123676605974845727e-02
9,train,0.225,CPG,4.062007776370076761e-12,2.205219876033622897e-20
10,train,0.23,CPG,1.670163867950255896e-08,7.852708842481190961e-17
11,train,0.235,CPG,6.557524546235346235e+06,2.713851191307480384e-02
12,train,0.24,CPG,2.880339174164186753e-08,1.063016776754530713e-16
13,train,0.245,CPG,5.910478690432080068e+06,1.966225649773711490e-02
14,train,0.25,CPG,0.000000000000000000e+00,0.000000000000000000e+00
15,train,0.255,CPG,3.718500224837044758e-08,1.030567384561188803e-16
16,train,0.26,CPG,6.563981285551197579e-08,1.677569305688908865e-16
17,train,0.265,CPG,6.476422785932237282e+06,1.534824973140753307e-02
18,train,0.27,CPG,6.579549372542076380e-08,1.452876441994178249e-16
19,train,0.275,CPG,7.572484308527836576e+06,1.564701425552924435e-02
20,train,0.28,CPG,5.261652451969138146e-08,1.021325048318138690e-16
21,train,0.285,CPG,6.565259193591886200e+06,1.201201318721228060e-02
22,train,0.29,CPG,7.654754006758418866e+06,1.324088880598824416e-02
23,train,0.295,CPG,1.359670612021878485e-07,2.229541075970185061e-16
24,train,0.3,CPG,1.842382710133762332e+06,2.871545258495146816e-03
25,train,0.31,CPG,9.028355477468345647e-12,1.340380773722235255e-20
26,train,0.32,CPG,1.839257674039434982e-08,2.493084480706762383e-17
27,train,0.33,CPG,1.864618344427658523e-08,2.323960892360472951e-17
28,train,0.34,CPG,1.365340957381229306e-07,1.574217710948356242e-16
29,train,0.35,CPG,1.382943466763710337e-08,1.483056150143541696e-17
30,train,0.36,CPG,5.312594413000055589e+06,5.323183194210437223e-03
31,train,0.37,CPG,1.313377795823592125e-07,1.234469608869906357e-16
32,train,0.38,CPG,1.781353703898854088e+06,1.576662516921472799e-03
33,train,0.39,CPG,4.181219634742669969e-07,3.495444155039054628e-16
34,train,0.4,CPG,4.025915791858109296e+05,3.188831523780413400e-04
35,train,0.41,CPG,5.650154666160012338e-08,4.250534753096029352e-17
36,train,0.42,CPG,2.499024514155666344e+06,1.790223895631682391e-03
37,train,0.43,CPG,3.175383098547459580e+06,2.170599407461590562e-03
38,train,0.44,CPG,6.405730376548012848e-08,4.186404187321417010e-17
39,train,0.45,CPG,3.679333647190012271e+05,2.303640167813665986e-04
40,train,0.46,CPG,7.167561344977540430e+05,4.305981551281853892e-04
41,train,0.47,CPG,5.935654871269282855e-07,3.426628286994696766e-16
42,train,0.48,CPG,3.418441026673855726e+06,1.899499165041004540e-03
43,train,0.49,CPG,2.304317568953681272e+06,1.234073611222739333e-03
44,train,0.5,CPG,1.252853910682058893e+06,6.474437960072385728e-04
45,train,0.51,CPG,3.006975344441908942e-07,1.501141918207746355e-16
46,train,0.52,CPG,4.554107204073689196e-08,2.198928608143037462e-17
47,train,0.53,CPG,6.567943535654157167e+05,3.070668451742635733e-04
48,train,0.54,CPG,1.313588707130549010e+06,5.951926774964534997e-04
49,train,0.55,CPG,1.970383060695904773e+06,8.660098090027077561e-04
