method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
Angular Defect Greedy,1,2,4.792715697311635017e+09,3.342039231655761003e+08,9.680581667516550581e+00,8.524011543699685944e+00,4.458511774146059036e+09,9.302683605136352618e-01,1.156570123816864637e+00
Angular Defect Greedy,2,3,3.342039231655761003e+08,3.145731200015988946e+08,8.524011543699685944e+00,8.497721609788461805e+00,1.963080316397720575e+07,5.873899677189436258e-02,2.628993391122413925e-02
Angular Defect Greedy,3,4,3.145731200015988946e+08,2.729527105942738652e+08,8.497721609788461805e+00,8.436087411484225029e+00,4.162040940732502937e+07,1.323075837093566076e-01,6.163419830423677581e-02
Angular Defect Greedy,4,5,2.729527105942738652e+08,2.729527105942738652e+08,8.436087411484225029e+00,8.436087411484225029e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,5,6,2.729527105942738652e+08,2.729527105942738652e+08,8.436087411484225029e+00,8.436087411484225029e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,6,7,2.729527105942738652e+08,2.167319436075982153e+08,8.436087411484225029e+00,8.335922925671974681e+00,5.622076698667564988e+07,2.059725542357558614e-01,1.001644858122503479e-01
Angular Defect Greedy,7,8,2.167319436075982153e+08,2.167319436075982153e+08,8.335922925671974681e+00,8.335922925671974681e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,8,9,2.167319436075982153e+08,2.167319436075982153e+08,8.335922925671974681e+00,8.335922925671974681e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,9,10,2.167319436075982153e+08,2.167319436075982153e+08,8.335922925671974681e+00,8.335922925671974681e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,10,11,2.167319436075982153e+08,2.167319436075982153e+08,8.335922925671974681e+00,8.335922925671974681e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,11,12,2.167319436075982153e+08,1.637085044278185070e+08,8.335922925671974681e+00,8.214071240988834788e+00,5.302343917977970839e+07,2.446498577790671702e-01,1.218516846831398937e-01
Angular Defect Greedy,12,13,1.637085044278185070e+08,1.637085044278185070e+08,8.214071240988834788e+00,8.214071240988834788e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,13,14,1.637085044278185070e+08,1.637085044278185070e+08,8.214071240988834788e+00,8.214071240988834788e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,14,15,1.637085044278185070e+08,1.637085044278185070e+08,8.214071240988834788e+00,8.214071240988834788e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,15,16,1.637085044278185070e+08,1.146556495898026228e+08,8.214071240988834788e+00,8.059395459198759326e+00,4.905285483801588416e+07,2.996353488748900729e-01,1.546757817900754617e-01
Angular Defect Greedy,16,17,1.146556495898026228e+08,1.146556495898026228e+08,8.059395459198759326e+00,8.059395459198759326e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,17,18,1.146556495898026228e+08,1.146556495898026228e+08,8.059395459198759326e+00,8.059395459198759326e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,18,19,1.146556495898026228e+08,1.146556495898026228e+08,8.059395459198759326e+00,8.059395459198759326e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,19,20,1.146556495898026228e+08,8.010697390219485760e+07,8.059395459198759326e+00,7.903670326264015777e+00,3.454867568760776520e+07,3.013255414034172186e-01,1.557251329347435487e-01
Angular Defect Greedy,20,21,8.010697390219485760e+07,8.010697390219485760e+07,7.903670326264015777e+00,7.903670326264015777e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,21,22,8.010697390219485760e+07,8.010697342248669267e+07,7.903670326264015777e+00,7.903670323663310349e+00,4.797081649303436279e-01,5.988344604254238116e-09,2.600705428790206497e-09
Angular Defect Greedy,22,23,8.010697342248669267e+07,8.010695404102645814e+07,7.903670323663310349e+00,7.903670218588035645e+00,1.938146023452281952e+01,2.419447322307933113e-07,1.050752747033811829e-07
Angular Defect Greedy,23,24,8.010695404102645814e+07,8.010695404102645814e+07,7.903670218588035645e+00,7.903670218588035645e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,24,25,8.010695404102645814e+07,8.010695403153184056e+07,7.903670218588035645e+00,7.903670218536561265e+00,9.494617581367492676e-03,1.185242616577939197e-10,5.147438031372075784e-11
Angular Defect Greedy,25,26,8.010695403153184056e+07,8.010695221154728532e+07,7.903670218536561265e+00,7.903670208669637098e+00,1.819984555244445801e+00,2.271943275396615696e-08,9.866924166601620527e-09
Angular Defect Greedy,26,27,8.010695221154728532e+07,8.010695221154728532e+07,7.903670208669637098e+00,7.903670208669637098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,27,28,8.010695221154728532e+07,8.010694345050106943e+07,7.903670208669637098e+00,7.903670161172208886e+00,8.761046215891838074e+00,1.093668648478296203e-07,4.749742821275049209e-08
Angular Defect Greedy,28,29,8.010694345050106943e+07,8.010694256016470492e+07,7.903670161172208886e+00,7.903670156345309117e+00,8.903363645076751709e-01,1.111434697365308242e-08,4.826899768772818788e-09
Angular Defect Greedy,29,30,8.010694256016470492e+07,8.010691917241121829e+07,7.903670156345309117e+00,7.903670029550134757e+00,2.338775348663330078e+01,2.919566362062541123e-07,1.267951743599837755e-07
CPG,1,2,3.416428006866534948e+08,1.731459998095587492e+08,8.533572273426910826e+00,8.238412462499958622e+00,1.684968008770947456e+08,4.931958189619102817e-01,2.951598109269522041e-01
CPG,2,3,1.731459998095587492e+08,1.668487898805366158e+08,8.238412462499958622e+00,8.222323061154963142e+00,6.297209929022133350e+06,3.636936421256257990e-02,1.608940134499547980e-02
CPG,3,4,1.668487898805366158e+08,9.979840353851805627e+07,8.222323061154963142e+00,7.999123593993205716e+00,6.705038634201855958e+07,4.018631863618938871e-01,2.231994671617574255e-01
CPG,4,5,9.979840353851805627e+07,8.621294211155477166e+07,7.999123593993205716e+00,7.935572466123184121e+00,1.358546142696328461e+07,1.361290456086289846e-01,6.355112787002159536e-02
CPG,5,6,8.621294211155477166e+07,8.010774715157008171e+07,7.935572466123184121e+00,7.903674518362402424e+00,6.105194959984689951e+06,7.081529536580373485e-02,3.189794776078169747e-02
CPG,6,7,8.010774715157008171e+07,7.938689808311404288e+07,7.903674518362402424e+00,7.899748832909176066e+00,7.208490684560388327e+05,8.998493829718321596e-03,3.925685453226357424e-03
CPG,7,8,7.938689808311404288e+07,6.369587433708050847e+07,7.899748832909176066e+00,7.804111303439496439e+00,1.569102374603353441e+07,1.976525613786525581e-01,9.563752946967962743e-02
CPG,8,9,6.369587433708050847e+07,4.719845789320265502e+07,7.804111303439496439e+00,7.673927809239735609e+00,1.649741644387785345e+07,2.590029042787453384e-01,1.301834941997608297e-01
CPG,9,10,4.719845789320265502e+07,4.523630611203981191e+07,7.673927809239735609e+00,7.655487134258389226e+00,1.962151781162843108e+06,4.157237055504359874e-02,1.844067498134638328e-02
CPG,10,11,4.523630611203981191e+07,4.083880080973903835e+07,7.655487134258389226e+00,7.611072980981977487e+00,4.397505302300773561e+06,9.721185658725484124e-02,4.441415327641173860e-02
CPG,11,12,4.083880080973903835e+07,3.706743843379331380e+07,7.611072980981977487e+00,7.568992574901784565e+00,3.771362375945724547e+06,9.234752982870027271e-02,4.208040608019292250e-02
CPG,12,13,3.706743843379331380e+07,3.275557643839889020e+07,7.568992574901784565e+00,7.515285246625934334e+00,4.311861995394423604e+06,1.163247901010452251e-01,5.370732827585023017e-02
CPG,13,14,3.275557643839889020e+07,2.378696827815872803e+07,7.515285246625934334e+00,7.376339093404691738e+00,8.968608160240162164e+06,2.738040094365853383e-01,1.389461532212425965e-01
