method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,selected_rows,selected_original_columns
CPG,2,2,1.731459998095587492e+08,0.015226608,0.049272807,1.731459998095587492e+08,1.077780843979136199e+08,1.174770654986565113e+08,8.647935400689883423e-01,1.495873573899453024e-01,4.469807813915276096e-02,"[95, 45]","[98, 48]"
Angular Defect Greedy,2,2,3.342039231655761003e+08,0.015064282,0.080873533,3.342039231655761003e+08,2.089323292664461136e+08,2.272274901652870774e+08,5.326730265641806961e-01,1.898147675841844462e-01,1.397081838122304354e-01,"[2, 95]","[5, 98]"
CPG,3,3,1.668487898805366158e+08,0.054958230,0.150190676,1.668487898805366158e+08,8.122779816710610688e+07,7.792417385238885880e+07,8.433354700647821556e-01,1.044469808992339460e-01,4.304786242898461790e-02,"[95, 45, 27]","[98, 48, 30]"
Angular Defect Greedy,3,3,3.145731200015988946e+08,0.055599349,0.157307137,3.145731200015988946e+08,1.891495992374691069e+08,2.058792396717873812e+08,3.110755929964940658e-01,1.424842652752179861e-01,1.279852052200291523e-01,"[2, 95, 5]","[5, 98, 8]"
CPG,4,4,9.979840353851805627e+07,0.111965326,0.374282410,9.979840353851805627e+07,5.290247321925764531e+07,5.967162100431103259e+07,8.433354700647821556e-01,9.663366241254893463e-02,2.909271082847616000e-02,"[95, 45, 27, 70]","[98, 48, 30, 73]"
Angular Defect Greedy,4,4,2.729527105942738652e+08,0.276070103,0.552833565,2.729527105942738652e+08,1.490101728073531687e+08,1.601571914551873803e+08,2.941365704780808388e-01,8.952464046224822836e-02,9.394127461439705229e-02,"[2, 95, 5, 15]","[5, 98, 8, 18]"
CPG,5,5,8.621294211155477166e+07,0.139895249,0.434910485,8.621294211155477166e+07,4.289838095903702825e+07,4.530780701301648468e+07,8.433354700647821556e-01,9.321854762976040931e-02,1.606441104927214952e-02,"[95, 45, 27, 70, 59]","[98, 48, 30, 73, 62]"
Angular Defect Greedy,5,5,2.729527105942738652e+08,0.310053017,0.615829850,2.729527105942738652e+08,1.488942131905621588e+08,1.601571914551873803e+08,1.657735720575065630e-01,8.595126100779425238e-02,9.205506402186519610e-02,"[2, 95, 5, 15, 3]","[5, 98, 8, 18, 6]"
CPG,6,6,8.010774715157008171e+07,0.173460906,0.514610893,8.010774715157008171e+07,3.422381618331412226e+07,3.224525133660937101e+07,8.137307687716699434e-01,6.376218565453371789e-02,1.569702599519166852e-02,"[95, 45, 27, 70, 59, 15]","[98, 48, 30, 73, 62, 18]"
Angular Defect Greedy,6,6,2.729527105942738652e+08,0.347562063,0.683561493,2.729527105942738652e+08,1.479423194901777208e+08,1.601571914551873803e+08,1.621927548221271387e-01,8.051758777066891914e-02,7.972379014596708835e-02,"[2, 95, 5, 15, 3, 8]","[5, 98, 8, 18, 6, 11]"
CPG,7,7,7.938689808311404288e+07,0.216005339,0.603009747,7.938689808311404288e+07,2.439119446275928617e+07,1.616995591041606478e+07,8.137307687716699434e-01,6.164758803202504550e-02,1.076600764696905403e-02,"[95, 45, 27, 70, 59, 15, 86]","[98, 48, 30, 73, 62, 18, 89]"
Angular Defect Greedy,7,7,2.167319436075982153e+08,0.385277354,0.763538449,2.167319436075982153e+08,1.035041898357985467e+08,1.044176109696562141e+08,1.272898251501219935e-01,5.173818772405439081e-02,5.888768369218411874e-02,"[2, 95, 5, 15, 3, 8, 31]","[5, 98, 8, 18, 6, 11, 34]"
CPG,8,8,6.369587433708050847e+07,0.267359013,0.703785564,6.369587433708050847e+07,1.948172062588367239e+07,1.347510415084433183e+07,8.137307687716699434e-01,5.798417806035636307e-02,9.125153155174139594e-03,"[95, 45, 27, 70, 59, 15, 86, 35]","[98, 48, 30, 73, 62, 18, 89, 38]"
Angular Defect Greedy,8,8,2.167319436075982153e+08,0.427541342,0.857506066,2.167319436075982153e+08,1.034352298283236474e+08,1.044176109696562141e+08,8.684555481264240318e-02,5.041225204540730059e-02,5.839951275248089768e-02,"[2, 95, 5, 15, 3, 8, 31, 4]","[5, 98, 8, 18, 6, 11, 34, 7]"
CPG,9,9,4.719845789320265502e+07,0.322208169,0.824465568,4.719845789320265502e+07,1.539342486026635207e+07,7.191384798871163279e+06,8.137307687716699434e-01,5.631243890381746470e-02,2.130477219251027034e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51]","[98, 48, 30, 73, 62, 18, 89, 38, 54]"
Angular Defect Greedy,9,9,2.167319436075982153e+08,0.476897155,0.962377799,2.167319436075982153e+08,1.002156681743895561e+08,1.044176109696562141e+08,8.511383926120068277e-02,4.516462019649771648e-02,4.484438000068234620e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23]","[5, 98, 8, 18, 6, 11, 34, 7, 26]"
CPG,10,10,4.523630611203981191e+07,0.383164697,0.948645793,4.523630611203981191e+07,1.347653865276603587e+07,6.407254680068777874e+06,8.137307687716699434e-01,5.519629296261460011e-02,1.831383553053640006e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44]"
Angular Defect Greedy,10,10,2.167319436075982153e+08,0.528317428,1.060864204,2.167319436075982153e+08,9.968722350778704882e+07,1.044176109696562141e+08,8.503070428847593620e-02,4.301315974947766962e-02,4.209782897312146221e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14]"
