method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
Angular Defect Greedy,1,2,8.784515810996311735e-01,5.326730265641806961e-01,-5.628217115304200852e-02,-2.735392944127034154e-01,3.457785545354504775e-01,3.936227812381082880e-01,2.172571232596613999e-01
Angular Defect Greedy,2,3,5.326730265641806961e-01,3.110755929964940658e-01,-2.735392944127034154e-01,-5.071340623170856876e-01,2.215974335676866303e-01,4.160102398971140536e-01,2.335947679043822722e-01
Angular Defect Greedy,3,4,3.110755929964940658e-01,2.941365704780808943e-01,-5.071340623170856876e-01,-5.314509755968050975e-01,1.693902251841317153e-02,5.445307475023950655e-02,2.431691327971940986e-02
Angular Defect Greedy,4,5,2.941365704780808943e-01,1.657735720575065075e-01,-5.314509755968050975e-01,-7.804847043311476940e-01,1.283629984205743868e-01,4.364061164238671742e-01,2.490337287343425965e-01
Angular Defect Greedy,5,6,1.657735720575065075e-01,1.621927548221271109e-01,-7.804847043311476940e-01,-7.899685496997568279e-01,3.580817235379396557e-03,2.160065196723406911e-02,9.483845368609133963e-03
Angular Defect Greedy,6,7,1.621927548221271109e-01,1.272898251501219935e-01,-7.899685496997568279e-01,-8.952063100758187453e-01,3.490292967200511742e-02,2.151941355844305126e-01,1.052377603760619174e-01
Angular Defect Greedy,7,8,1.272898251501219935e-01,8.684555481264238930e-02,-8.952063100758187453e-01,-1.061252405999224546e+00,4.044427033747960420e-02,3.177337252980023119e-01,1.660460959234058009e-01
Angular Defect Greedy,8,9,8.684555481264238930e-02,8.511383926120066890e-02,-1.061252405999224546e+00,-1.069999819161983279e+00,1.731715551441720402e-03,1.994017489067418519e-02,8.747413162758732597e-03
Angular Defect Greedy,9,10,8.511383926120066890e-02,8.503070428847593620e-02,-1.069999819161983279e+00,-1.070424223753838833e+00,8.313497272473269195e-05,9.767503551285571742e-04,4.244045918555539032e-04
Angular Defect Greedy,10,11,8.503070428847593620e-02,8.337742125650277059e-02,-1.070424223753838833e+00,-1.078951541104538947e+00,1.653283031973165618e-03,1.944336514448031378e-02,8.527317350700114318e-03
Angular Defect Greedy,11,12,8.337742125650277059e-02,5.058912382211892128e-02,-1.078951541104538947e+00,-1.295942842285721985e+00,3.278829743438384930e-02,3.932515175003283847e-01,2.169913011811830383e-01
Angular Defect Greedy,12,13,5.058912382211892128e-02,4.782734918050581679e-02,-1.295942842285721985e+00,-1.320323689129745182e+00,2.761774641613104486e-03,5.459226080538644166e-02,2.438084684402319624e-02
Angular Defect Greedy,13,14,4.782734918050581679e-02,4.707706694580110485e-02,-1.320323689129745182e+00,-1.327190602942751374e+00,7.502822347047119478e-04,1.568730543424144350e-02,6.866913813006192413e-03
Angular Defect Greedy,14,15,4.707706694580110485e-02,4.658650646506347359e-02,-1.327190602942751374e+00,-1.331739856193383087e+00,4.905604807376312548e-04,1.042037052355882301e-02,4.549253250631712930e-03
Angular Defect Greedy,15,16,4.658650646506347359e-02,4.407484813575879290e-02,-1.331739856193383087e+00,-1.355809175430582103e+00,2.511658329304680692e-03,5.391385875195951055e-02,2.406931923719901611e-02
Angular Defect Greedy,16,17,4.407484813575879290e-02,4.372917871353351749e-02,-1.355809175430582103e+00,-1.359228679150223495e+00,3.456694222252754134e-04,7.842781923162817082e-03,3.419503719641392436e-03
Angular Defect Greedy,17,18,4.372917871353351749e-02,3.993790309377613645e-02,-1.359228679150223495e+00,-1.398614741135541184e+00,3.791275619757381032e-03,8.669898981167095675e-02,3.938606198531768854e-02
Angular Defect Greedy,18,19,3.993790309377613645e-02,3.082163814752721109e-02,-1.398614741135541184e+00,-1.511144282570063391e+00,9.116264946248925360e-03,2.282609811747875750e-01,1.125295414345222067e-01
Angular Defect Greedy,19,20,3.082163814752721109e-02,3.023371120716246765e-02,-1.511144282570063391e+00,-1.519508539627815402e+00,5.879269403647434389e-04,1.907513603107796607e-02,8.364257057752011448e-03
Angular Defect Greedy,20,21,3.023371120716246765e-02,2.917245286380605943e-02,-1.519508539627815402e+00,-1.535027053208400272e+00,1.061258343356408229e-03,3.510182180694352422e-02,1.551851358058486952e-02
Angular Defect Greedy,21,22,2.917245286380605943e-02,2.717609350252383690e-02,-1.535027053208400272e+00,-1.565812971894567696e+00,1.996359361282222522e-03,6.843303066089048703e-02,3.078591868616742389e-02
Angular Defect Greedy,22,23,2.717609350252383690e-02,2.439537993137202640e-02,-1.565812971894567696e+00,-1.612692413837285565e+00,2.780713571151810504e-03,1.023220490058133758e-01,4.687944194271786991e-02
Angular Defect Greedy,23,24,2.439537993137202640e-02,2.430377417546866065e-02,-1.612692413837285565e+00,-1.614326278817179272e+00,9.160575590336575424e-05,3.755045265171803176e-03,1.633864979893706604e-03
Angular Defect Greedy,24,25,2.430377417546866065e-02,2.311659277301739840e-02,-1.614326278817179272e+00,-1.636076177557889366e+00,1.187181402451262247e-03,4.884761493750051919e-02,2.174989874071009410e-02
Angular Defect Greedy,25,26,2.311659277301739840e-02,2.251533272237703220e-02,-1.636076177557889366e+00,-1.647521630827423200e+00,6.012600506403661949e-04,2.600989066789205842e-02,1.144545326953383402e-02
Angular Defect Greedy,26,27,2.251533272237703220e-02,2.170308976977168222e-02,-1.647521630827423200e+00,-1.663478433227981501e+00,8.122429526053499826e-04,3.607510324722389139e-02,1.595680240055830090e-02
Angular Defect Greedy,27,28,2.170308976977168222e-02,2.028890573895509447e-02,-1.663478433227981501e+00,-1.692741375556545247e+00,1.414184030816587750e-03,6.516049308270750740e-02,2.926294232856374578e-02
Angular Defect Greedy,28,29,2.028890573895509447e-02,1.988558997071352905e-02,-1.692741375556545247e+00,-1.701461519728314276e+00,4.033157682415654255e-04,1.987863581362060705e-02,8.720144171769028674e-03
Angular Defect Greedy,29,30,1.988558997071352905e-02,1.870801114542776714e-02,-1.701461519728314276e+00,-1.727972380029497934e+00,1.177578825285761910e-03,5.921769618201115637e-02,2.651086030118365855e-02
CPG,1,2,8.784515810996311735e-01,8.647935400689884533e-01,-5.628217115304200852e-02,-6.308756318387445661e-02,1.365804103064272024e-02,1.554785866916627395e-02,6.805392030832448091e-03
CPG,2,3,8.647935400689884533e-01,8.433354700647822666e-01,-6.308756318387445661e-02,-7.399963318475123730e-02,2.145807000420618671e-02,2.481293974801706062e-02,1.091207000087678070e-02
CPG,3,4,8.433354700647822666e-01,8.433354700647822666e-01,-7.399963318475123730e-02,-7.399963318475123730e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,4,5,8.433354700647822666e-01,8.433354700647822666e-01,-7.399963318475123730e-02,-7.399963318475123730e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,5,6,8.433354700647822666e-01,8.137307687716699434e-01,-7.399963318475123730e-02,-8.951926215958755373e-02,2.960470129311232323e-02,3.510429994227349387e-02,1.551962897483631643e-02
CPG,6,7,8.137307687716699434e-01,8.137307687716699434e-01,-8.951926215958755373e-02,-8.951926215958755373e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,7,8,8.137307687716699434e-01,8.137307687716699434e-01,-8.951926215958755373e-02,-8.951926215958755373e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,8,9,8.137307687716699434e-01,8.137307687716699434e-01,-8.951926215958755373e-02,-8.951926215958755373e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,9,10,8.137307687716699434e-01,8.137307687716699434e-01,-8.951926215958755373e-02,-8.951926215958755373e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,10,11,8.137307687716699434e-01,7.634648926837139804e-01,-8.951926215958755373e-02,-1.172109288292896428e-01,5.026587608795596296e-02,6.177212171027097326e-02,2.769166666970208912e-02
CPG,11,12,7.634648926837139804e-01,7.634648926837139804e-01,-1.172109288292896428e-01,-1.172109288292896428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,12,13,7.634648926837139804e-01,7.634648926837139804e-01,-1.172109288292896428e-01,-1.172109288292896428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,13,14,7.634648926837139804e-01,7.634648926837139804e-01,-1.172109288292896428e-01,-1.172109288292896428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,14,15,7.634648926837139804e-01,7.634648926837139804e-01,-1.172109288292896428e-01,-1.172109288292896428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,15,16,7.634648926837139804e-01,7.634648926837139804e-01,-1.172109288292896428e-01,-1.172109288292896428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,16,17,7.634648926837139804e-01,6.928729415748223763e-01,-1.172109288292896428e-01,-1.593463986235832963e-01,7.059195110889160407e-02,9.246260278026462165e-02,4.213546979429365347e-02
CPG,17,18,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,18,19,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,19,20,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,20,21,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,21,22,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,22,23,6.928729415748223763e-01,6.928729415748223763e-01,-1.593463986235832963e-01,-1.593463986235832963e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,23,24,6.928729415748223763e-01,5.202341493278576090e-01,-1.593463986235832963e-01,-2.838011431476948898e-01,1.726387922469647673e-01,2.491637093730001695e-01,1.244547445241115935e-01
CPG,24,25,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,25,26,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,26,27,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,27,28,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,28,29,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,29,30,5.202341493278576090e-01,5.202341493278576090e-01,-2.838011431476948898e-01,-2.838011431476948898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
