row,displacement_mm,method,residual,relative
0,0.18,Angular Defect Greedy,9.071463913084214703e-68,9.071463913084214373e-67
1,0.185,Angular Defect Greedy,2.074196891975890013e-67,2.074196891975890013e-66
2,0.19,Angular Defect Greedy,6.628073806204980611e-09,7.332412073214433442e-16
3,0.195,Angular Defect Greedy,5.923910622059123798e-09,2.028805477379178411e-16
4,0.2,Angular Defect Greedy,3.924427246553194609e-08,7.545733092262358691e-16
5,0.205,Angular Defect Greedy,0.000000000000000000e+00,0.000000000000000000e+00
6,0.21,Angular Defect Greedy,8.012196353665075266e-08,7.839282520351997224e-16
7,0.215,Angular Defect Greedy,3.182145019405171256e-07,2.469974595027105400e-15
8,0.22,Angular Defect Greedy,1.360797265992931713e-07,8.711712386868633081e-16
9,0.225,Angular Defect Greedy,8.129096444393928327e-08,4.413198112927127996e-16
10,0.23,Angular Defect Greedy,4.050064850809132387e-08,1.904243091164656138e-16
11,0.235,Angular Defect Greedy,5.947737014576722600e-08,2.461488793337310088e-16
12,0.24,Angular Defect Greedy,0.000000000000000000e+00,0.000000000000000000e+00
13,0.245,Angular Defect Greedy,5.970325577489362660e-08,1.986134779059911125e-16
14,0.25,Angular Defect Greedy,6.184260235586215742e+06,1.870801114542776367e-02
15,0.255,Angular Defect Greedy,0.000000000000000000e+00,0.000000000000000000e+00
16,0.26,Angular Defect Greedy,6.809660758111881092e+06,1.740358080409041761e-02
17,0.265,Angular Defect Greedy,1.766507481202536352e-07,4.186384809958561452e-16
18,0.27,Angular Defect Greedy,6.905063357010683045e+06,1.524755467866033103e-02
19,0.275,Angular Defect Greedy,1.296747618287969553e-06,2.679467879032167972e-15
20,0.28,Angular Defect Greedy,5.914134749785361812e+06,1.147976612712987843e-02
21,0.285,Angular Defect Greedy,5.765884009259065076e-07,1.054945017597452744e-15
22,0.29,Angular Defect Greedy,4.335074897735162638e+06,7.498640013234024113e-03
23,0.295,Angular Defect Greedy,2.381710845751932434e-07,3.905447477305759221e-16
24,0.3,Angular Defect Greedy,1.842382167589017889e+06,2.871544412882679614e-03
25,0.31,Angular Defect Greedy,1.339241189024527843e-07,1.988283631083551013e-16
26,0.32,Angular Defect Greedy,1.104592426456299797e+07,1.497257439658442567e-02
27,0.33,Angular Defect Greedy,1.382656824425024921e-07,1.723269749609471787e-16
28,0.34,Angular Defect Greedy,1.307541082033032179e+07,1.507575318825101970e-02
29,0.35,Angular Defect Greedy,1.521112367613570342e-07,1.631227238180482547e-16
30,0.36,Angular Defect Greedy,5.312520371845802292e+06,5.323109005481285044e-03
31,0.37,Angular Defect Greedy,2.783433885643388751e-07,2.616204226271963485e-16
32,0.38,Angular Defect Greedy,1.781354108700128272e+06,1.576662875207979599e-03
33,0.39,Angular Defect Greedy,2.827977179534550614e-07,2.364151411863405431e-16
34,0.4,Angular Defect Greedy,4.025915707519922871e+05,3.188831456978155230e-04
35,0.41,Angular Defect Greedy,2.899447781579956084e-07,2.181215256673429757e-16
36,0.42,Angular Defect Greedy,2.499024514155667275e+06,1.790223895631683042e-03
37,0.43,Angular Defect Greedy,3.175383543543827254e+06,2.170599711648147582e-03
38,0.44,Angular Defect Greedy,0.000000000000000000e+00,0.000000000000000000e+00
39,0.45,Angular Defect Greedy,3.679333537750063697e+05,2.303640099293035464e-04
40,0.46,Angular Defect Greedy,7.167561819954330567e+05,4.305981836628737817e-04
41,0.47,Angular Defect Greedy,8.136603369592953549e-07,4.697226484858185537e-16
42,0.48,Angular Defect Greedy,4.022834220415794756e+06,2.235337741137877199e-03
43,0.49,Angular Defect Greedy,4.990642603760459460e+06,2.672730713562737007e-03
44,0.5,Angular Defect Greedy,6.876292335255977698e+06,3.553497158794766912e-03
45,0.51,Angular Defect Greedy,8.976129636304786429e+06,4.481062501969003756e-03
46,0.52,Angular Defect Greedy,6.625358205149090322e-07,3.199022123033406027e-16
47,0.53,Angular Defect Greedy,6.567943692896004068e+05,3.070668525256906034e-04
48,0.54,Angular Defect Greedy,1.313588738578918390e+06,5.951926917458445548e-04
49,0.55,Angular Defect Greedy,1.970383107868458610e+06,8.660098297356785433e-04
50,0.56,Angular Defect Greedy,2.519882228540271521e+06,1.075195072685659718e-03
51,0.57,Angular Defect Greedy,9.812290878308238891e-07,4.067830076558395469e-16
52,0.58,Angular Defect Greedy,3.317221074054972734e+06,1.337385427701957797e-03
53,0.59,Angular Defect Greedy,3.460349310425285716e+06,1.357707324225372342e-03
54,0.6,Angular Defect Greedy,3.942543597611549776e+06,1.506450780868287022e-03
55,0.61,Angular Defect Greedy,4.659567563839104958e+06,1.734969987207845470e-03
56,0.62,Angular Defect Greedy,5.516409507461760193e+06,2.002786483265285751e-03
57,0.63,Angular Defect Greedy,6.433014897960410453e+06,2.278648201993362012e-03
58,0.64,Angular Defect Greedy,6.906175194646345451e+06,2.387965251949284492e-03
59,0.65,Angular Defect Greedy,6.967824678995903609e-07,2.353275547410191010e-16
60,0.66,Angular Defect Greedy,1.791680742063014535e+06,5.914128678808890441e-04
61,0.67,Angular Defect Greedy,2.420404380398087204e+06,7.812353419063933040e-04
62,0.68,Angular Defect Greedy,3.245128584042447153e+06,1.024682446951996747e-03
63,0.69,Angular Defect Greedy,4.149802563752495218e+06,1.282450087626870469e-03
64,0.7,Angular Defect Greedy,5.091764524376914836e+06,1.540714476742856233e-03
65,0.71,Angular Defect Greedy,6.053541694688887335e+06,1.794248806000701534e-03
66,0.72,Angular Defect Greedy,7.026968472384363413e+06,2.040950579034988069e-03
67,0.73,Angular Defect Greedy,7.997346329019264318e+06,2.277024803416098295e-03
