method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices
CPG,2,2,1.731459998095587492e+08,0.010893114,0.020434987,1.731459998095587492e+08,1.077780843979134113e+08,1.174770654986565113e+08,8.647935400689884533e-01,1.495873573899452746e-01,4.469807813915276096e-02,8.647935400689884533e-01,1.495873573899452746e-01,4.469807813915276096e-02,nan,nan,nan,"[95, 45]","[95, 45]"
Angular Defect Greedy,2,2,3.342039231655761003e+08,0.007829550,0.016449404,3.342039231655761003e+08,2.089323292664459050e+08,2.272274901652871072e+08,5.326730265641806961e-01,1.898147675841843629e-01,1.397081838122304354e-01,5.326730265641806961e-01,1.898147675841843629e-01,1.397081838122304354e-01,nan,nan,nan,"[2, 95]","[2, 95]"
CPG,3,3,1.668487898805366158e+08,1.676151382,1.705779727,1.668487898805366158e+08,8.122779816710591316e+07,7.792417385238884389e+07,8.433354700647821556e-01,1.044469808992339183e-01,4.304786242898461790e-02,8.433354700647821556e-01,1.044469808992339183e-01,4.304786242898461790e-02,nan,nan,nan,"[95, 45, 27]","[95, 45, 27]"
Angular Defect Greedy,3,3,3.145731200015989542e+08,0.247273620,0.279348691,3.145731200015989542e+08,1.891495992374688685e+08,2.058792396717873812e+08,3.110755929964940658e-01,1.424842652752179306e-01,1.279852052200291523e-01,3.110755929964940658e-01,1.424842652752179306e-01,1.279852052200291523e-01,nan,nan,nan,"[2, 95, 5]","[2, 95, 5]"
CPG,4,4,9.979840353851807117e+07,1.808109046,1.866844062,9.979840353851807117e+07,5.290247321925743669e+07,5.967162100431103259e+07,8.433354700647821556e-01,9.663366241254889299e-02,2.909271082847616000e-02,8.433354700647821556e-01,9.663366241254889299e-02,2.909271082847616000e-02,nan,nan,nan,"[95, 45, 27, 70]","[95, 45, 27, 70]"
Angular Defect Greedy,4,4,2.729527105942739248e+08,0.521251004,0.579682831,2.729527105942739248e+08,1.490101728073529899e+08,1.601571914551873803e+08,2.941365704780808388e-01,8.952464046224810346e-02,9.394127461439705229e-02,2.941365704780808388e-01,8.952464046224810346e-02,9.394127461439705229e-02,nan,nan,nan,"[2, 95, 5, 15]","[2, 95, 5, 15]"
CPG,5,5,8.621294211155477166e+07,1.940605458,2.035158199,8.621294211155477166e+07,4.289838095903682709e+07,4.530780701301649213e+07,8.433354700647821556e-01,9.321854762976038156e-02,1.606441104927214952e-02,8.433354700647821556e-01,9.321854762976038156e-02,1.606441104927214952e-02,nan,nan,nan,"[95, 45, 27, 70, 59]","[95, 45, 27, 70, 59]"
Angular Defect Greedy,5,5,2.729527105942739248e+08,0.808518906,0.899603395,2.729527105942739248e+08,1.488942131905619800e+08,1.601571914551873803e+08,1.657735720575065630e-01,8.595126100779415523e-02,9.205506402186519610e-02,1.657735720575065630e-01,8.595126100779415523e-02,9.205506402186519610e-02,nan,nan,nan,"[2, 95, 5, 15, 3]","[2, 95, 5, 15, 3]"
CPG,6,6,8.010774715157009661e+07,2.073928415,2.211942147,8.010774715157009661e+07,3.422381618331391364e+07,3.224525133660937101e+07,8.137307687716699434e-01,6.376218565453366238e-02,1.569702599519166852e-02,8.137307687716699434e-01,6.376218565453366238e-02,1.569702599519166852e-02,nan,nan,nan,"[95, 45, 27, 70, 59, 15]","[95, 45, 27, 70, 59, 15]"
Angular Defect Greedy,6,6,2.729527105942739248e+08,1.138117842,1.264081091,2.729527105942739248e+08,1.479423194901775122e+08,1.601571914551873803e+08,1.621927548221271387e-01,8.051758777066884976e-02,7.972379014596708835e-02,1.621927548221271387e-01,8.051758777066884976e-02,7.972379014596708835e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8]","[2, 95, 5, 15, 3, 8]"
CPG,7,7,7.938689808311404288e+07,2.225688371,2.413695483,7.938689808311404288e+07,2.439119446275908127e+07,1.616995591041606292e+07,8.137307687716699434e-01,6.164758803202499693e-02,1.076600764696905403e-02,8.137307687716699434e-01,6.164758803202499693e-02,1.076600764696905403e-02,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86]","[95, 45, 27, 70, 59, 15, 86]"
Angular Defect Greedy,7,7,2.167319436075982153e+08,1.511057562,1.680996427,2.167319436075982153e+08,1.035041898357983381e+08,1.044176109696561992e+08,1.272898251501219935e-01,5.173818772405432836e-02,5.888768369218411874e-02,1.272898251501219935e-01,5.173818772405432836e-02,5.888768369218411874e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31]","[2, 95, 5, 15, 3, 8, 31]"
CPG,8,8,6.369587433708051592e+07,2.381301123,2.626080166,6.369587433708051592e+07,1.948172062588346377e+07,1.347510415084433556e+07,8.137307687716699434e-01,5.798417806035632838e-02,9.125153155174139594e-03,8.137307687716699434e-01,5.798417806035632838e-02,9.125153155174139594e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35]","[95, 45, 27, 70, 59, 15, 86, 35]"
Angular Defect Greedy,8,8,2.167319436075982153e+08,1.899111548,2.117235185,2.167319436075982153e+08,1.034352298283234388e+08,1.044176109696561992e+08,8.684555481264240318e-02,5.041225204540722427e-02,5.839951275248089768e-02,8.684555481264240318e-02,5.041225204540722427e-02,5.839951275248089768e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4]","[2, 95, 5, 15, 3, 8, 31, 4]"
CPG,9,9,4.719845789320265502e+07,2.545507522,2.855265282,4.719845789320265502e+07,1.539342486026613973e+07,7.191384798871163279e+06,8.137307687716699434e-01,5.631243890381740919e-02,2.130477219251027034e-03,8.137307687716699434e-01,5.631243890381740919e-02,2.130477219251027034e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51]","[95, 45, 27, 70, 59, 15, 86, 35, 51]"
Angular Defect Greedy,9,9,2.167319436075982153e+08,2.314581021,2.586050652,2.167319436075982153e+08,1.002156681743893623e+08,1.044176109696561992e+08,8.511383926120068277e-02,4.516462019649763321e-02,4.484438000068234620e-02,8.511383926120068277e-02,4.516462019649763321e-02,4.484438000068234620e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23]","[2, 95, 5, 15, 3, 8, 31, 4, 23]"
CPG,10,10,4.523630611203981191e+07,2.729390711,3.110892406,4.523630611203981191e+07,1.347653865276581980e+07,6.407254680068778805e+06,8.137307687716699434e-01,5.519629296261454460e-02,1.831383553053640006e-03,8.137307687716699434e-01,5.519629296261454460e-02,1.831383553053640006e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41]"
Angular Defect Greedy,10,10,2.167319436075982153e+08,2.780222262,3.111071578,2.167319436075982153e+08,9.968722350778682530e+07,1.044176109696561992e+08,8.503070428847593620e-02,4.301315974947758636e-02,4.209782897312146221e-02,8.503070428847593620e-02,4.301315974947758636e-02,4.209782897312146221e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11]"
CPG,11,11,4.083880080973903835e+07,2.944275645,3.405000634,4.083880080973903835e+07,1.120398971255526878e+07,6.357888080208804458e+06,7.634648926837139804e-01,3.793258206672858734e-02,1.790183803197641088e-03,7.634648926837139804e-01,3.793258206672858734e-02,1.790183803197641088e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8]"
Angular Defect Greedy,11,11,2.167319436075982153e+08,3.295904168,3.694080352,2.167319436075982153e+08,9.957312570421795547e+07,1.044176109696561992e+08,8.337742125650275671e-02,4.194446986307697606e-02,4.178168715643590381e-02,8.337742125650275671e-02,4.194446986307697606e-02,4.178168715643590381e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6]"
CPG,12,12,3.706743843379331380e+07,3.175164076,3.725418172,3.706743843379331380e+07,1.005460428512710519e+07,6.283035011791288853e+06,7.634648926837139804e-01,3.684929306411593303e-02,1.760538170322347232e-03,7.634648926837139804e-01,3.684929306411593303e-02,1.760538170322347232e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31]"
Angular Defect Greedy,12,12,1.637085044278185368e+08,3.836796144,4.309946320,1.637085044278185368e+08,6.298789936410961300e+07,5.351382348541345447e+07,5.058912382211893516e-02,2.696519534511770955e-02,3.088149423118316875e-02,5.058912382211893516e-02,2.696519534511770955e-02,3.088149423118316875e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46]"
CPG,13,13,3.275557643839889020e+07,3.423347171,4.076344515,3.275557643839889020e+07,8.396062304760275409e+06,6.163081070973966271e+06,7.634648926837139804e-01,3.398804690342599466e-02,1.698216946298188685e-03,7.634648926837139804e-01,3.398804690342599466e-02,1.698216946298188685e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23]"
