row,split,displacement_mm,method,residual,relative
0,train+test,0.18,Angular Defect Greedy,9.071463913084214703e-68,9.071463913084214373e-67
1,train+test,0.185,Angular Defect Greedy,2.074196891975890013e-67,2.074196891975890013e-66
2,train+test,0.19,Angular Defect Greedy,2.756212532953062743e-09,3.049103954462658484e-16
3,train+test,0.195,Angular Defect Greedy,5.147967415443218387e-09,1.763062469398022458e-16
4,train+test,0.2,Angular Defect Greedy,2.837381688594506256e-09,5.455604998617626827e-17
5,train+test,0.205,Angular Defect Greedy,2.448976544129017041e-08,3.201223564486940772e-16
6,train+test,0.21,Angular Defect Greedy,8.090745214497749052e-10,7.916136192496147849e-18
7,train+test,0.215,Angular Defect Greedy,2.749118968930395949e-08,2.133860641346405617e-16
8,train+test,0.22,Angular Defect Greedy,6.175766897516060651e-08,3.953675269934249871e-16
9,train+test,0.225,Angular Defect Greedy,2.565323116055024357e-08,1.392686039864845229e-16
10,train+test,0.23,Angular Defect Greedy,5.466892517585111121e-08,2.570401386207780326e-16
11,train+test,0.235,Angular Defect Greedy,3.207067982505384851e-08,1.327254698561970333e-16
12,train+test,0.24,Angular Defect Greedy,2.931310218417192742e-08,1.081828129131240290e-16
13,train+test,0.245,Angular Defect Greedy,5.839281603739298389e-08,1.942540675108101883e-16
14,train+test,0.25,Angular Defect Greedy,6.184260235586216673e+06,1.870801114542776714e-02
15,train+test,0.255,Angular Defect Greedy,6.504621470927241627e-08,1.802729684424801791e-16
16,train+test,0.26,Angular Defect Greedy,6.809660758111882024e+06,1.740358080409042107e-02
17,train+test,0.265,Angular Defect Greedy,5.434365900683065957e-08,1.287871526187324293e-16
18,train+test,0.27,Angular Defect Greedy,6.905063357010683045e+06,1.524755467866033103e-02
19,train+test,0.275,Angular Defect Greedy,3.293666356346340359e-08,6.805698411638881773e-17
20,train+test,0.28,Angular Defect Greedy,5.914134749785361812e+06,1.147976612712987843e-02
21,train+test,0.285,Angular Defect Greedy,1.325088394001679944e-07,2.424425113102330234e-16
22,train+test,0.29,Angular Defect Greedy,4.335074897735162638e+06,7.498640013234024113e-03
23,train+test,0.295,Angular Defect Greedy,1.360061267520628597e-07,2.230181659412466041e-16
24,train+test,0.3,Angular Defect Greedy,1.842382167589017889e+06,2.871544412882679614e-03
25,train+test,0.31,Angular Defect Greedy,1.388545611636215172e-07,2.061482676350555739e-16
26,train+test,0.32,Angular Defect Greedy,1.104592426456299983e+07,1.497257439658442740e-02
27,train+test,0.33,Angular Defect Greedy,1.433104883028748424e-07,1.786145520214715525e-16
28,train+test,0.34,Angular Defect Greedy,1.307541082033032179e+07,1.507575318825101970e-02
29,train+test,0.35,Angular Defect Greedy,1.295910381641498147e-07,1.389722651516502797e-16
30,train+test,0.36,Angular Defect Greedy,5.312520371845801361e+06,5.323109005481284177e-03
31,train+test,0.37,Angular Defect Greedy,1.455398733774237009e-07,1.367957880318358903e-16
32,train+test,0.38,Angular Defect Greedy,1.781354108700128505e+06,1.576662875207979816e-03
33,train+test,0.39,Angular Defect Greedy,2.827977179534550614e-07,2.364151411863405431e-16
34,train+test,0.4,Angular Defect Greedy,4.025915707519924035e+05,3.188831456978155772e-04
35,train+test,0.41,Angular Defect Greedy,2.149781334732613824e-11,1.617251352350743518e-20
36,train+test,0.42,Angular Defect Greedy,2.499024514155666810e+06,1.790223895631682825e-03
37,train+test,0.43,Angular Defect Greedy,3.175383543543827254e+06,2.170599711648147582e-03
38,train+test,0.44,Angular Defect Greedy,2.674602939116198893e-07,1.747961322994703565e-16
39,train+test,0.45,Angular Defect Greedy,3.679333537750064279e+05,2.303640099293035736e-04
40,train+test,0.46,Angular Defect Greedy,7.167561819954328239e+05,4.305981836628736191e-04
41,train+test,0.47,Angular Defect Greedy,3.004721060359520020e-07,1.734612675981768517e-16
42,train+test,0.48,Angular Defect Greedy,4.022834220415794756e+06,2.235337741137877199e-03
43,train+test,0.49,Angular Defect Greedy,4.990642603760459460e+06,2.672730713562737007e-03
44,train+test,0.5,Angular Defect Greedy,6.876292335255977698e+06,3.553497158794766912e-03
45,train+test,0.51,Angular Defect Greedy,8.976129636304786429e+06,4.481062501969003756e-03
46,train+test,0.52,Angular Defect Greedy,1.285414430515202810e-07,6.206561325678520888e-17
47,train+test,0.53,Angular Defect Greedy,6.567943692896002904e+05,3.070668525256905492e-04
48,train+test,0.54,Angular Defect Greedy,1.313588738578917924e+06,5.951926917458443380e-04
49,train+test,0.55,Angular Defect Greedy,1.970383107868458843e+06,8.660098297356786518e-04
50,train+test,0.56,Angular Defect Greedy,2.519882228540271521e+06,1.075195072685659718e-03
51,train+test,0.57,Angular Defect Greedy,8.386636949706019516e-07,3.476804188572121479e-16
52,train+test,0.58,Angular Defect Greedy,3.317221074054973200e+06,1.337385427701958014e-03
53,train+test,0.59,Angular Defect Greedy,3.460349310425285250e+06,1.357707324225372126e-03
54,train+test,0.6,Angular Defect Greedy,3.942543597611549310e+06,1.506450780868286805e-03
55,train+test,0.61,Angular Defect Greedy,4.659567563839104958e+06,1.734969987207845470e-03
56,train+test,0.62,Angular Defect Greedy,5.516409507461760193e+06,2.002786483265285751e-03
57,train+test,0.63,Angular Defect Greedy,6.433014897960410453e+06,2.278648201993362012e-03
58,train+test,0.64,Angular Defect Greedy,6.906175194646345451e+06,2.387965251949284492e-03
59,train+test,0.65,Angular Defect Greedy,6.109305944185869166e-07,2.063324057713247767e-16
60,train+test,0.66,Angular Defect Greedy,1.791680742063014768e+06,5.914128678808891525e-04
61,train+test,0.67,Angular Defect Greedy,2.420404380398087669e+06,7.812353419063935208e-04
62,train+test,0.68,Angular Defect Greedy,3.245128584042447619e+06,1.024682446951996964e-03
63,train+test,0.69,Angular Defect Greedy,4.149802563752494752e+06,1.282450087626870253e-03
64,train+test,0.7,Angular Defect Greedy,5.091764524376913905e+06,1.540714476742855799e-03
65,train+test,0.71,Angular Defect Greedy,6.053541694688886404e+06,1.794248806000701101e-03
66,train+test,0.72,Angular Defect Greedy,7.026968472384363413e+06,2.040950579034988069e-03
67,train+test,0.73,Angular Defect Greedy,7.997346329019263387e+06,2.277024803416097861e-03
68,train+test,0.74,Angular Defect Greedy,8.694305422165313736e+06,2.427586385724109144e-03
69,train+test,0.75,Angular Defect Greedy,8.125559004162405618e+06,2.225706730058736593e-03
70,train+test,0.76,Angular Defect Greedy,6.218841613813365228e-07,1.671743927172229928e-16
71,train+test,0.77,Angular Defect Greedy,5.884135397100292146e+06,1.552965957338831807e-03
72,train+test,0.78,Angular Defect Greedy,1.066155889967887662e+07,2.763492404346134038e-03
73,train+test,0.79,Angular Defect Greedy,1.574547803989550099e+07,4.009435161507843119e-03
74,train+test,0.8,Angular Defect Greedy,2.091309743757462129e+07,5.233146709640304137e-03
75,train+test,0.81,Angular Defect Greedy,2.611470039259960130e+07,6.423479340613978163e-03
76,train+test,0.82,Angular Defect Greedy,3.133334618101856858e+07,7.577964937966447968e-03
77,train+test,0.83,Angular Defect Greedy,3.656172457965275645e+07,8.696594784890947574e-03
78,train+test,0.84,Angular Defect Greedy,4.179618225865505636e+07,9.780221902376947871e-03
79,train+test,0.85,Angular Defect Greedy,4.703468583882418275e+07,1.083002270368427222e-02
80,train+test,0.86,Angular Defect Greedy,5.227601754621865600e+07,1.184728876389090461e-02
81,train+test,0.87,Angular Defect Greedy,5.751940426504398882e+07,1.283333466498324735e-02
82,train+test,0.88,Angular Defect Greedy,6.276254016783611476e+07,1.378906152801600941e-02
83,train+test,0.89,Angular Defect Greedy,6.791871896716034412e+07,1.469706354110838359e-02
84,train+test,0.9,Angular Defect Greedy,7.308388527598711848e+07,1.557989459143472623e-02
85,train+test,0.91,Angular Defect Greedy,7.776989163531471789e+07,1.633614894858317554e-02
86,train+test,0.92,Angular Defect Greedy,8.010691917241123319e+07,1.658438239340616696e-02
87,train+test,0.93,Angular Defect Greedy,7.737882262008313835e+07,1.579222547657487680e-02
88,train+test,0.94,Angular Defect Greedy,6.898575974273768067e+07,1.388263695098904994e-02
89,train+test,0.95,Angular Defect Greedy,5.950449350269563496e+07,1.180966654198590746e-02
90,train+test,0.96,Angular Defect Greedy,4.962209691855718940e+07,9.714449784291338472e-03
91,train+test,0.97,Angular Defect Greedy,3.969767753484446555e+07,7.667263314383400939e-03
92,train+test,0.98,Angular Defect Greedy,2.977325815113380924e+07,5.674254570781547130e-03
93,train+test,0.99,Angular Defect Greedy,1.984883876742169261e+07,3.733343203316025986e-03
94,train+test,1,Angular Defect Greedy,9.924419383711533621e+06,1.842551853833510403e-03
95,train+test,1.01,Angular Defect Greedy,1.240648915645907002e-06,2.273971732039137237e-16
0,train+test,0.18,CPG,9.803543332593581713e-68,9.803543332593581054e-67
1,train+test,0.185,CPG,3.050815178005797070e-67,3.050815178005796939e-66
2,train+test,0.19,CPG,4.702613960894970223e+06,5.202341493278574980e-01
3,train+test,0.195,CPG,5.835489591267451331e-09,1.998523273100528532e-16
4,train+test,0.2,CPG,6.620160717589854263e+06,1.272898251501219935e-01
5,train+test,0.205,CPG,1.754215122889685100e-09,2.293053725661968365e-17
6,train+test,0.21,CPG,6.629928875389501452e+06,6.486846209184965462e-02
7,train+test,0.215,CPG,1.313282301128599672e-08,1.019367093613077158e-16
8,train+test,0.22,CPG,2.892923461719792123e-08,1.852025851722875766e-16
9,train+test,0.225,CPG,6.656276693424057215e+06,3.613620276678853466e-02
10,train+test,0.23,CPG,2.566310408962566091e-08,1.206617436033054268e-16
11,train+test,0.235,CPG,6.557524546235346235e+06,2.713851191307480384e-02
12,train+test,0.24,CPG,2.774153661252018164e-08,1.023827995555985004e-16
13,train+test,0.245,CPG,5.910478690432080068e+06,1.966225649773711490e-02
14,train+test,0.25,CPG,9.045588952331966969e-09,2.736381919431687807e-17
15,train+test,0.255,CPG,3.333445717882553561e-09,9.238510763315777504e-18
16,train+test,0.26,CPG,6.809660758111882024e+06,1.740358080409042107e-02
17,train+test,0.265,CPG,1.380711522225930205e-07,3.272100347770153401e-16
18,train+test,0.27,CPG,6.905063357010683045e+06,1.524755467866033103e-02
19,train+test,0.275,CPG,3.209982931376504947e-08,6.632783461920209214e-17
20,train+test,0.28,CPG,5.914134941370569170e+06,1.147976649901071358e-02
21,train+test,0.285,CPG,1.289963909128339186e-07,2.360160205495266341e-16
22,train+test,0.29,CPG,4.335074898471117951e+06,7.498640014507050068e-03
23,train+test,0.295,CPG,1.360061251133454067e-07,2.230181632541341227e-16
24,train+test,0.3,CPG,1.842384295821236214e+06,2.871547729954155616e-03
25,train+test,0.31,CPG,1.388539755484733374e-07,2.061473982106212194e-16
26,train+test,0.32,CPG,1.344639173528863357e-07,1.822636981751856813e-16
27,train+test,0.33,CPG,2.739974518589844860e-07,3.414958158218450943e-16
28,train+test,0.34,CPG,5.579204380000422025e-08,6.432739236683542590e-17
29,train+test,0.35,CPG,1.295910381641498147e-07,1.389722651516502797e-16
30,train+test,0.36,CPG,5.312520398870491423e+06,5.323109032559838853e-03
31,train+test,0.37,CPG,1.455398733774237009e-07,1.367957880318358903e-16
32,train+test,0.38,CPG,1.781354132771282224e+06,1.576662896513173536e-03
33,train+test,0.39,CPG,1.773010272801116523e-26,1.482213070892239848e-35
34,train+test,0.4,CPG,4.025915710076726391e+05,3.188831459003338095e-04
35,train+test,0.41,CPG,7.386452825524444685e-08,5.556728318436242878e-17
36,train+test,0.42,CPG,2.499024514155666810e+06,1.790223895631682825e-03
37,train+test,0.43,CPG,3.175383582571890205e+06,2.170599738326594794e-03
38,train+test,0.44,CPG,2.674602939116198893e-07,1.747961322994703565e-16
39,train+test,0.45,CPG,3.679333538746788399e+05,2.303640099917087327e-04
40,train+test,0.46,CPG,7.167561306228286121e+05,4.305981528002865563e-04
41,train+test,0.47,CPG,3.008537023056474777e-07,1.736815615000813157e-16
42,train+test,0.48,CPG,3.417664528838493396e+06,1.899067694385691901e-03
43,train+test,0.49,CPG,2.303805732539512217e+06,1.233799498044721183e-03
44,train+test,0.5,CPG,1.252618742453312268e+06,6.473222669052244643e-04
45,train+test,0.51,CPG,3.006977038562557778e-07,1.501142763946480075e-16
46,train+test,0.52,CPG,7.664211188052231446e+06,3.700627254708185702e-03
47,train+test,0.53,CPG,6.231652465129406191e+06,2.913444447721069263e-03
48,train+test,0.54,CPG,4.899447597337258048e+06,2.219960721254065142e-03
49,train+test,0.55,CPG,3.780230337921776809e+06,1.661461985860586887e-03
50,train+test,0.56,CPG,3.045547225103940349e+06,1.299488259004922012e-03
51,train+test,0.57,CPG,8.386636949706019516e-07,3.476804188572121479e-16
52,train+test,0.58,CPG,3.317221074054973200e+06,1.337385427701958014e-03
53,train+test,0.59,CPG,3.460349310425285250e+06,1.357707324225372126e-03
54,train+test,0.6,CPG,3.942543597611549310e+06,1.506450780868286805e-03
55,train+test,0.61,CPG,4.659567674819559790e+06,1.734970028530941457e-03
56,train+test,0.62,CPG,5.516407984202097170e+06,2.002785930230950844e-03
57,train+test,0.63,CPG,6.433014560676133260e+06,2.278648082523373856e-03
58,train+test,0.64,CPG,6.906174821146965958e+06,2.387965122803481933e-03
59,train+test,0.65,CPG,6.109305944185869166e-07,2.063324057713247767e-16
60,train+test,0.66,CPG,1.440507305707338732e+06,4.754946218212947298e-04
61,train+test,0.67,CPG,1.283895193373665446e+06,4.144036048233732793e-04
62,train+test,0.68,CPG,1.149297751408862881e+06,3.629024865088850606e-04
63,train+test,0.69,CPG,1.045254351472660434e+06,3.230241714021050091e-04
64,train+test,0.7,CPG,9.815358884119578870e+05,2.970024527801630671e-04
65,train+test,0.71,CPG,9.662644548470698064e+05,2.863974400162078529e-04
66,train+test,0.72,CPG,1.001697975783519680e+06,2.909385564668466942e-04
67,train+test,0.73,CPG,1.049752168456170242e+06,2.988881094646383919e-04
68,train+test,0.74,CPG,1.293465059563472801e-09,3.611557239524827821e-19
69,train+test,0.75,CPG,4.242393048729264177e+06,1.162052082235104367e-03
70,train+test,0.76,CPG,6.218841613813365228e-07,1.671743927172229928e-16
71,train+test,0.77,CPG,3.123066283595720306e+06,8.242528925026008316e-04
72,train+test,0.78,CPG,3.060632978677712381e+06,7.933207581230823516e-04
73,train+test,0.79,CPG,3.100603803069166373e+06,7.895390586701401614e-04
74,train+test,0.8,CPG,3.239190045687015168e+06,8.105521805215921147e-04
75,train+test,0.81,CPG,3.464577731206624303e+06,8.521883516099435603e-04
76,train+test,0.82,CPG,3.761194498307966627e+06,9.096443089221165458e-04
77,train+test,0.83,CPG,4.113661083862429019e+06,9.784780105431944291e-04
78,train+test,0.84,CPG,4.508804894675563090e+06,1.055051203278711131e-03
79,train+test,0.85,CPG,4.936190709347240627e+06,1.136587956282656461e-03
80,train+test,0.86,CPG,5.388050784340485930e+06,1.221091362978318296e-03
81,train+test,0.87,CPG,5.858656977778178640e+06,1.307143330913446361e-03
82,train+test,0.88,CPG,6.334412918057608418e+06,1.391683785222538796e-03
83,train+test,0.89,CPG,6.381343357356216758e+06,1.380871285956402532e-03
84,train+test,0.9,CPG,6.541518291153036058e+06,1.394509405996135739e-03
85,train+test,0.91,CPG,5.491979076512442902e+06,1.153631390373049872e-03
86,train+test,0.92,CPG,1.483591020066842129e-07,3.071450137691200476e-17
87,train+test,0.93,CPG,4.069996624468226917e+06,8.306446415975698430e-04
88,train+test,0.94,CPG,2.484726390363393463e-07,5.000242735398420634e-17
89,train+test,0.95,CPG,1.945658370238947449e+06,3.861485949141775487e-04
90,train+test,0.96,CPG,1.859150748955606949e+06,3.639633895721713680e-04
91,train+test,0.97,CPG,1.487320599165112246e+06,2.872631190249322754e-04
92,train+test,0.98,CPG,1.115490449374155607e+06,2.125926812878362862e-04
93,train+test,0.99,CPG,7.436602995825319085e+05,1.398741335729557927e-04
94,train+test,1,CPG,3.718301497916076332e+05,6.903339181072562958e-05
95,train+test,1.01,CPG,1.240648915645907002e-06,2.273971732039137237e-16
