configuration,method,epsilon,R,final_max_residual,final_max_relative_residual,train_max_rel,test_max_rel,elapsed_seconds
means_40_80,CPG,1.000000000000000021e-02,5,7.079756246894782813e-03,1.183534681105288030e-03,1.183534681105288030e-03,3.819847558511533484e-04,3.006059
means_40_80,ADG,1.000000000000000021e-02,2,6.309225092886382362e-15,7.179290390319594848e-16,7.179290390319594848e-16,6.313937766095533353e-16,0.383392
means_40_80,CPG,1.000000000000000021e-03,6,7.438295828066052424e-15,7.013565947749207701e-16,7.013565947749207701e-16,4.995773476832422404e-16,2.090897
means_40_80,ADG,1.000000000000000021e-03,2,6.309225092886382362e-15,7.179290390319594848e-16,7.179290390319594848e-16,6.313937766095533353e-16,0.345287
means_40_80,CPG,1.000000000000000048e-04,6,7.438295828066052424e-15,7.013565947749207701e-16,7.013565947749207701e-16,4.995773476832422404e-16,1.727030
means_40_80,ADG,1.000000000000000048e-04,2,6.309225092886382362e-15,7.179290390319594848e-16,7.179290390319594848e-16,6.313937766095533353e-16,0.404711
means_40_80,CPG,1.000000000000000082e-05,6,7.438295828066052424e-15,7.013565947749207701e-16,7.013565947749207701e-16,4.995773476832422404e-16,1.955948
means_40_80,ADG,1.000000000000000082e-05,2,6.309225092886382362e-15,7.179290390319594848e-16,7.179290390319594848e-16,6.313937766095533353e-16,0.433131
means_40_80,CPG,9.999999999999999547e-07,6,7.438295828066052424e-15,7.013565947749207701e-16,7.013565947749207701e-16,4.995773476832422404e-16,2.005391
means_40_80,ADG,9.999999999999999547e-07,2,6.309225092886382362e-15,7.179290390319594848e-16,7.179290390319594848e-16,6.313937766095533353e-16,0.399654
means_20_80,CPG,1.000000000000000021e-02,4,1.307513490429695934e-03,1.937066276209108411e-04,1.937066276209108411e-04,6.315765638369061702e-16,0.902319
means_20_80,ADG,1.000000000000000021e-02,2,7.349820339288621725e-15,7.481367128950488847e-16,7.481367128950488847e-16,6.138223280271574418e-16,0.394831
means_20_80,CPG,1.000000000000000021e-03,5,7.647804853837566973e-15,7.797764011496597317e-16,7.797764011496597317e-16,6.315765638369061702e-16,1.409090
means_20_80,ADG,1.000000000000000021e-03,2,7.349820339288621725e-15,7.481367128950488847e-16,7.481367128950488847e-16,6.138223280271574418e-16,0.335559
means_20_80,CPG,1.000000000000000048e-04,5,7.647804853837566973e-15,7.797764011496597317e-16,7.797764011496597317e-16,6.315765638369061702e-16,1.509697
means_20_80,ADG,1.000000000000000048e-04,2,7.349820339288621725e-15,7.481367128950488847e-16,7.481367128950488847e-16,6.138223280271574418e-16,0.358590
means_20_80,CPG,1.000000000000000082e-05,5,7.647804853837566973e-15,7.797764011496597317e-16,7.797764011496597317e-16,6.315765638369061702e-16,1.591166
means_20_80,ADG,1.000000000000000082e-05,2,7.349820339288621725e-15,7.481367128950488847e-16,7.481367128950488847e-16,6.138223280271574418e-16,0.407051
means_20_80,CPG,9.999999999999999547e-07,5,7.647804853837566973e-15,7.797764011496597317e-16,7.797764011496597317e-16,6.315765638369061702e-16,1.580413
means_20_80,ADG,9.999999999999999547e-07,2,7.349820339288621725e-15,7.481367128950488847e-16,7.481367128950488847e-16,6.138223280271574418e-16,0.275275
means_40_50,CPG,1.000000000000000021e-02,5,1.504823349093776640e-03,2.045024951259092271e-04,2.045024951259092271e-04,6.758208648810851811e-16,1.567952
means_40_50,ADG,1.000000000000000021e-02,2,6.405609952769881917e-15,7.241336699604196187e-16,7.241336699604196187e-16,6.021782940242857207e-16,0.388687
means_40_50,CPG,1.000000000000000021e-03,6,1.156353726893645521e-14,9.775911537863698057e-16,9.775911537863698057e-16,6.758208648810851811e-16,2.021997
means_40_50,ADG,1.000000000000000021e-03,2,6.405609952769881917e-15,7.241336699604196187e-16,7.241336699604196187e-16,6.021782940242857207e-16,0.319877
means_40_50,CPG,1.000000000000000048e-04,6,1.156353726893645521e-14,9.775911537863698057e-16,9.775911537863698057e-16,6.758208648810851811e-16,1.876919
