method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
Angular Defect Greedy,1,2,1.100974486338015268e+01,7.865241484522844218e+00,1.041777254874567848e+00,8.957120611977975599e-01,3.144503378857308462e+00,2.856109217677093581e-01,1.460651936767702885e-01
Angular Defect Greedy,2,3,7.865241484522844218e+00,1.829364356416088633e+00,8.957120611977975599e-01,2.623002129787103121e-01,6.035877128106755585e+00,7.674115461024437757e-01,6.334118482190872479e-01
Angular Defect Greedy,3,4,1.829364356416088633e+00,5.496828999240325198e-01,2.623002129787103121e-01,-2.598877732837628907e-01,1.279681456492056224e+00,6.995224609049903730e-01,5.221879862624732027e-01
Angular Defect Greedy,4,5,5.496828999240325198e-01,4.534172952803572354e-01,-2.598877732837628907e-01,-3.435019180393100724e-01,9.626560464367528436e-02,1.751293421297613895e-01,8.361414475554718173e-02
Angular Defect Greedy,5,6,4.534172952803572354e-01,2.593659742153777148e-01,-3.435019180393100724e-01,-5.860869988755321724e-01,1.940513210649795206e-01,4.279751193544428234e-01,2.425850808362221001e-01
Angular Defect Greedy,6,7,2.593659742153777148e-01,2.297272508359122778e-01,-5.860869988755321724e-01,-6.387874846234596893e-01,2.963872337946543700e-02,1.142737534062714666e-01,5.270048574792751683e-02
Angular Defect Greedy,7,8,2.297272508359122778e-01,1.470396053267050140e-01,-6.387874846234596893e-01,-8.325656716588902828e-01,8.268764550920726375e-02,3.599383408295288578e-01,1.937781870354305935e-01
Angular Defect Greedy,8,9,1.470396053267050140e-01,1.470396053267050418e-01,-8.325656716588902828e-01,-8.325656716588901718e-01,-2.775557561562891351e-17,-1.887625823937654952e-16,-1.110223024625156540e-16
Angular Defect Greedy,9,10,1.470396053267050418e-01,1.470396053267050418e-01,-8.325656716588901718e-01,-8.325656716588901718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,10,11,1.470396053267050418e-01,1.470396053267050418e-01,-8.325656716588901718e-01,-8.325656716588901718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,11,12,1.470396053267050418e-01,1.470396053267050418e-01,-8.325656716588901718e-01,-8.325656716588901718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,12,13,1.470396053267050418e-01,1.470396053267050418e-01,-8.325656716588901718e-01,-8.325656716588901718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,13,14,1.470396053267050418e-01,1.441945553076593167e-01,-8.325656716588901718e-01,-8.410511379833132128e-01,2.845050019045725076e-03,1.934886871278219261e-02,8.485466324423041051e-03
Angular Defect Greedy,14,15,1.441945553076593167e-01,1.441945553076593167e-01,-8.410511379833132128e-01,-8.410511379833132128e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,15,16,1.441945553076593167e-01,1.441945553076593167e-01,-8.410511379833132128e-01,-8.410511379833132128e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
