method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
Angular Defect Greedy,1,2,9.985705851535783273e-01,9.621351945117463389e-01,-6.212310844711186599e-04,-1.676389874688124018e-02,3.643539064183198839e-02,3.648754648248354882e-02,1.614266766241012271e-02
Angular Defect Greedy,2,3,9.621351945117463389e-01,2.029835154187685786e-01,-1.676389874688124018e-02,-6.925392303299414687e-01,7.591516790929777603e-01,7.890280736255819161e-01,6.757753315830602459e-01
Angular Defect Greedy,3,4,2.029835154187685786e-01,1.210310797039820530e-01,-6.925392303299414687e-01,-9.171030924047071098e-01,8.195243571478652567e-02,4.037393654638070650e-01,2.245638620747656411e-01
Angular Defect Greedy,4,5,1.210310797039820530e-01,6.643979613635665749e-02,-9.171030924047071098e-01,-1.177571708806302464e+00,5.459128356762539547e-02,4.510517769579914238e-01,2.604686164015953542e-01
Angular Defect Greedy,5,6,6.643979613635665749e-02,3.668613138225591819e-02,-1.177571708806302464e+00,-1.435498082954368870e+00,2.975366475410073930e-02,4.478289592134852559e-01,2.579263741480664063e-01
Angular Defect Greedy,6,7,3.668613138225591819e-02,3.668613138225591819e-02,-1.435498082954368870e+00,-1.435498082954368870e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,7,8,3.668613138225591819e-02,2.722500217752971824e-02,-1.435498082954368870e+00,-1.565032076836132324e+00,9.461129204726199948e-03,2.578938920036221161e-01,1.295339938817634540e-01
Angular Defect Greedy,8,9,2.722500217752971824e-02,2.722500217752972171e-02,-1.565032076836132324e+00,-1.565032076836132102e+00,-3.469446951953614189e-18,-1.274360578313245640e-16,-2.220446049250313081e-16
Angular Defect Greedy,9,10,2.722500217752972171e-02,2.722500217752972171e-02,-1.565032076836132102e+00,-1.565032076836132102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,10,11,2.722500217752972171e-02,2.722500217752972171e-02,-1.565032076836132102e+00,-1.565032076836132102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,11,12,2.722500217752972171e-02,2.722500217752972171e-02,-1.565032076836132102e+00,-1.565032076836132102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,12,13,2.722500217752972171e-02,2.722500217752972171e-02,-1.565032076836132102e+00,-1.565032076836132102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,13,14,2.722500217752972171e-02,2.669822918469149167e-02,-1.565032076836132102e+00,-1.573517543160555254e+00,5.267729928382300364e-04,1.934886871278212322e-02,8.485466324423152074e-03
Angular Defect Greedy,14,15,2.669822918469149167e-02,2.669822918469149167e-02,-1.573517543160555254e+00,-1.573517543160555254e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Angular Defect Greedy,15,16,2.669822918469149167e-02,2.669822918469149167e-02,-1.573517543160555254e+00,-1.573517543160555254e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
