method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
CPG,1,2,6.601244323544467996e+00,5.850555429755179837e+00,8.196258070438908749e-01,7.671970983261348076e-01,7.506888937892881586e-01,1.137193015431693238e-01,5.242870871775606734e-02
CPG,2,3,5.850555429755179837e+00,5.672267459283817814e+00,7.671970983261348076e-01,7.537567005516940810e-01,1.782879704713620228e-01,3.047368281729493852e-02,1.344039777444072659e-02
CPG,3,4,5.672267459283817814e+00,1.427132983490198459e+00,7.537567005516940810e-01,1.544644435456698217e-01,4.245134475793619799e+00,7.484016764487356754e-01,5.992922570060242871e-01
CPG,4,5,1.427132983490198459e+00,1.417527380413137639e+00,1.544644435456698217e-01,1.515314563109721180e-01,9.605603077060820283e-03,6.730699372926932100e-03,2.932987234697703727e-03
CPG,5,6,1.417527380413137639e+00,6.521515119148976192e-01,1.515314563109721180e-01,-1.856514945374580228e-01,7.653758684982400196e-01,5.399372732223144400e-01,3.371829508484301408e-01
CPG,6,7,6.521515119148976192e-01,5.496828999240325198e-01,-1.856514945374580228e-01,-2.598877732837628907e-01,1.024686119908650994e-01,1.571239353413271256e-01,7.423627874630486789e-02
CPG,7,8,5.496828999240325198e-01,2.593659742153777148e-01,-2.598877732837628907e-01,-5.860869988755321724e-01,2.903169257086548050e-01,5.281534603837545472e-01,3.261992255917692818e-01
CPG,8,9,2.593659742153777148e-01,1.765299190060630186e-01,-5.860869988755321724e-01,-7.531816780491559227e-01,8.283605520931469623e-02,3.193790375160296402e-01,1.670946791736237502e-01
CPG,9,10,1.765299190060630186e-01,1.501119525200134974e-01,-7.531816780491559227e-01,-8.235847260990316610e-01,2.641796648604952114e-02,1.496514961021546686e-01,7.040304804987573828e-02
CPG,10,11,1.501119525200134974e-01,1.470396053267050140e-01,-8.235847260990316610e-01,-8.325656716588902828e-01,3.072347193308483382e-03,2.046703904473473959e-02,8.980945559858621863e-03
CPG,11,12,1.470396053267050140e-01,1.470396053267050140e-01,-8.325656716588902828e-01,-8.325656716588902828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,12,13,1.470396053267050140e-01,1.470396053267050140e-01,-8.325656716588902828e-01,-8.325656716588902828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,13,14,1.470396053267050140e-01,1.470396053267050140e-01,-8.325656716588902828e-01,-8.325656716588902828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,14,15,1.470396053267050140e-01,1.470396053267050140e-01,-8.325656716588902828e-01,-8.325656716588902828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
