method,from_iteration,to_iteration,error_before,error_after,log10_error_before,log10_error_after,absolute_gain,relative_gain,log10_gain
CPG,1,2,8.075136032060848956e-01,7.580193449448984211e-01,-9.285015290078789396e-02,-1.203197108644930430e-01,4.949425826118647453e-02,6.129216655258633989e-02,2.746955796370514902e-02
CPG,2,3,7.580193449448984211e-01,7.576409585324024309e-01,-1.203197108644930430e-01,-1.205365551455119394e-01,3.783864124959901432e-04,4.991777782709431966e-04,2.168442810188964120e-04
CPG,3,4,7.576409585324024309e-01,1.895591912626252706e-01,-1.205365551455119394e-01,-7.222551528473378779e-01,5.680817672697771048e-01,7.498034007693917813e-01,6.017185977018258969e-01
CPG,4,5,1.895591912626252706e-01,1.895591912626252706e-01,-7.222551528473378779e-01,-7.222551528473378779e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,5,6,1.895591912626252706e-01,1.407511869459400766e-01,-7.222551528473378779e-01,-8.515479340830206523e-01,4.880800431668519401e-02,2.574816024038845685e-01,1.292927812356827744e-01
CPG,6,7,1.407511869459400766e-01,1.210310797039820530e-01,-8.515479340830206523e-01,-9.171030924047071098e-01,1.972010724195802367e-02,1.401061523518956353e-01,6.555515832168645751e-02
CPG,7,8,1.210310797039820530e-01,3.667177855404549214e-02,-9.171030924047071098e-01,-1.435668026568532429e+00,8.435930114993656082e-02,6.970052762997953621e-01,5.185649341638253196e-01
CPG,8,9,3.667177855404549214e-02,3.667177855404549214e-02,-1.435668026568532429e+00,-1.435668026568532429e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,9,10,3.667177855404549214e-02,3.667177855404549214e-02,-1.435668026568532429e+00,-1.435668026568532429e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,10,11,3.667177855404549214e-02,2.722500217752971824e-02,-1.435668026568532429e+00,-1.565032076836132324e+00,9.446776376515773899e-03,2.576034419108816365e-01,1.293640502675998949e-01
CPG,11,12,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,12,13,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,13,14,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,14,15,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,15,16,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,16,17,2.722500217752971824e-02,2.722500217752971824e-02,-1.565032076836132324e+00,-1.565032076836132324e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CPG,17,18,2.722500217752971824e-02,2.669822918469149514e-02,-1.565032076836132324e+00,-1.573517543160555254e+00,5.267729928382230975e-04,1.934886871278187342e-02,8.485466324422930029e-03
CPG,18,19,2.669822918469149514e-02,2.669822918469149514e-02,-1.573517543160555254e+00,-1.573517543160555254e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
